,train_acc,test_acc
i0_c0,0.8448,0.6971
i0_c1,0.8316,0.6976
i0_c2,0.8292,0.6979
i0_c3,0.828,0.7096
i0_g,0.7892,0.7505
i1_c0,0.8856,0.741
i1_c1,0.8768,0.74
i1_c2,0.8736,0.7443
i1_c3,0.864,0.7519
i1_g,0.8323,0.7886
i2_c0,0.9064,0.7663
i2_c1,0.8916,0.7618
i2_c2,0.8812,0.7571
i2_c3,0.8832,0.7656
i2_g,0.8449,0.8071
i3_c0,0.9148,0.7834
i3_c1,0.8976,0.7745
i3_c2,0.9008,0.776
i3_c3,0.8896,0.7847
i3_g,0.8597,0.8223
i4_c0,0.9196,0.7888
i4_c1,0.902,0.7789
i4_c2,0.91,0.7814
i4_c3,0.9032,0.7916
i4_g,0.8664,0.825
i5_c0,0.9196,0.7884
i5_c1,0.9148,0.7837
i5_c2,0.9092,0.7873
i5_c3,0.9084,0.7933
i5_g,0.8694,0.8297
i6_c0,0.93,0.7985
i6_c1,0.9176,0.7876
i6_c2,0.9144,0.7979
i6_c3,0.9104,0.7971
i6_g,0.8756,0.8359
i7_c0,0.9292,0.7972
i7_c1,0.914,0.786
i7_c2,0.9148,0.7969
i7_c3,0.9112,0.802
i7_g,0.8757,0.8347
i8_c0,0.9316,0.8044
i8_c1,0.9256,0.7979
i8_c2,0.9196,0.7962
i8_c3,0.9204,0.8031
i8_g,0.879,0.8393
i9_c0,0.9368,0.807
i9_c1,0.922,0.7982
i9_c2,0.9172,0.8017
i9_c3,0.9188,0.8024
i9_g,0.8791,0.8393
