,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.5076,0.2534,0.5078,0.2532
i0_c1,0.5314,0.2738,0.5286,0.2727
i0_g,0.4769,0.3097,,
i1_c0,0.5316,0.2938,0.5312,0.2919
i1_c1,0.5286,0.291,0.5292,0.2907
i1_g,0.5485,0.3772,,
