,train_acc,test_acc
i0_c0,0.6696,0.5959
i0_c1,0.6772,0.6035
i0_g,0.6673,0.6238
i1_c0,0.737,0.6598
i1_c1,0.7376,0.6563
i1_g,0.7257,0.6827
i2_c0,0.767,0.6978
i2_c1,0.7736,0.6994
i2_g,0.7637,0.7198
i3_c0,0.7956,0.7267
i3_c1,0.792,0.7252
i3_g,0.7866,0.7459
i4_c0,0.816,0.7447
i4_c1,0.8136,0.7453
i4_g,0.8045,0.7645
i5_c0,0.8282,0.7567
i5_c1,0.8232,0.7594
i5_g,0.8179,0.7751
i6_c0,0.8404,0.7654
i6_c1,0.8342,0.7682
i6_g,0.8261,0.7856
i7_c0,0.8454,0.7753
i7_c1,0.841,0.7783
i7_g,0.8345,0.7946
i8_c0,0.8542,0.7869
i8_c1,0.849,0.7836
i8_g,0.8411,0.8025
i9_c0,0.8556,0.7904
i9_c1,0.852,0.7891
i9_g,0.8492,0.8067
