,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.8902,0.8211,0.2086,0.2107
i0_c1,0.8794,0.822,0.2442,0.2486
i0_g,0.2583,0.2562,,
i1_c0,0.888,0.8058,0.2338,0.2251
i1_c1,0.8754,0.8123,0.2538,0.2566
i1_g,0.2853,0.2785,,
i2_c0,0.883,0.8085,0.2204,0.22
i2_c1,0.8806,0.8162,0.2586,0.2468
i2_g,0.2759,0.2665,,
i3_c0,0.8928,0.8121,0.2478,0.2592
i3_c1,0.864,0.8035,0.2354,0.2344
i3_g,0.2906,0.2882,,
i4_c0,0.8812,0.8087,0.2486,0.2512
i4_c1,0.8806,0.8159,0.2266,0.23
i4_g,0.2641,0.27,,
i5_c0,0.8838,0.8098,0.2386,0.2374
i5_c1,0.8774,0.8102,0.2532,0.2441
i5_g,0.2829,0.2775,,
i6_c0,0.8908,0.8218,0.2162,0.226
i6_c1,0.8588,0.8076,0.2238,0.2213
i6_g,0.2499,0.2518,,
i7_c0,0.8844,0.8128,0.264,0.2595
i7_c1,0.872,0.8101,0.2782,0.2617
i7_g,0.3047,0.3008,,
i8_c0,0.8922,0.8107,0.2412,0.2492
i8_c1,0.8722,0.8147,0.252,0.2493
i8_g,0.2828,0.2865,,
i9_c0,0.8938,0.8151,0.238,0.2345
i9_c1,0.88,0.8156,0.2548,0.2524
i9_g,0.2804,0.2755,,
