,train_acc,test_acc
i0_c0,0.334,0.3097
i0_c1,0.302,0.2683
i0_c2,0.3144,0.3104
i0_c3,0.3192,0.3122
i0_g,0.4006,0.3944
i1_c0,0.334,0.3149
i1_c1,0.3504,0.3168
i1_c2,0.3336,0.3092
i1_c3,0.3572,0.3439
i1_g,0.4198,0.4067
i2_c0,0.3984,0.3688
i2_c1,0.3908,0.3531
i2_c2,0.3892,0.3539
i2_c3,0.3784,0.3457
i2_g,0.4598,0.4417
i3_c0,0.3948,0.3623
i3_c1,0.3752,0.3501
i3_c2,0.386,0.3534
i3_c3,0.3748,0.3622
i3_g,0.4595,0.4429
i4_c0,0.4004,0.3829
i4_c1,0.3756,0.3563
i4_c2,0.384,0.3518
i4_c3,0.4076,0.3753
i4_g,0.48,0.4608
i5_c0,0.4392,0.3956
i5_c1,0.3992,0.3705
i5_c2,0.4212,0.3933
i5_c3,0.4052,0.3909
i5_g,0.4943,0.4769
i6_c0,0.4172,0.3888
i6_c1,0.4204,0.397
i6_c2,0.4036,0.3851
i6_c3,0.414,0.4073
i6_g,0.492,0.479
i7_c0,0.42,0.39
i7_c1,0.4088,0.389
i7_c2,0.452,0.4138
i7_c3,0.4428,0.4342
i7_g,0.512,0.4951
i8_c0,0.4552,0.4143
i8_c1,0.4636,0.4298
i8_c2,0.4444,0.4206
i8_c3,0.4516,0.4148
i8_g,0.5241,0.5028
i9_c0,0.4332,0.4126
i9_c1,0.452,0.4221
i9_c2,0.4328,0.402
i9_c3,0.4664,0.4408
i9_g,0.5329,0.5087
