,train_acc,test_acc
i0_c0,0.6276,0.5101
i0_c1,0.616,0.5036
i0_c2,0.6284,0.5055
i0_c3,0.6236,0.5249
i0_g,0.5856,0.5464
i1_c0,0.6768,0.5677
i1_c1,0.6624,0.55
i1_c2,0.6764,0.5538
i1_c3,0.6788,0.5768
i1_g,0.6368,0.5926
i2_c0,0.7044,0.598
i2_c1,0.6992,0.5838
i2_c2,0.7048,0.5837
i2_c3,0.71,0.6063
i2_g,0.6689,0.6239
i3_c0,0.7344,0.6218
i3_c1,0.7132,0.607
i3_c2,0.7316,0.607
i3_c3,0.7252,0.6281
i3_g,0.6942,0.647
i4_c0,0.7572,0.6408
i4_c1,0.7376,0.6323
i4_c2,0.7468,0.6282
i4_c3,0.7484,0.6473
i4_g,0.7198,0.671
i5_c0,0.7688,0.6599
i5_c1,0.7564,0.6491
i5_c2,0.764,0.646
i5_c3,0.7568,0.6654
i5_g,0.732,0.6876
i6_c0,0.7824,0.6721
i6_c1,0.7656,0.6626
i6_c2,0.7776,0.665
i6_c3,0.7676,0.6797
i6_g,0.7441,0.6992
i7_c0,0.7936,0.6868
i7_c1,0.7804,0.6724
i7_c2,0.7852,0.6717
i7_c3,0.7756,0.6939
i7_g,0.756,0.7119
i8_c0,0.8016,0.6966
i8_c1,0.786,0.6819
i8_c2,0.7908,0.6856
i8_c3,0.7856,0.7006
i8_g,0.7658,0.7231
i9_c0,0.8136,0.7046
i9_c1,0.7936,0.695
i9_c2,0.8052,0.6937
i9_c3,0.7904,0.7052
i9_g,0.7752,0.729
