,0,1
i0_c0,0.9488,0.2886
i0_c1,0.9312,0.2558
i0_c2,0.9432,0.2983
i0_c3,0.9528,0.2614
i0_c4,0.9456,0.2827
i0_c5,0.9432,0.2701
i0_c6,0.9296,0.2668
i0_c7,0.96,0.2913
i0_g,0.5386,0.3703
i1_c0,0.9304,0.2784
i1_c1,0.9416,0.2638
i1_c2,0.944,0.2872
i1_c3,0.956,0.2686
i1_c4,0.9472,0.3066
i1_c5,0.9576,0.2817
i1_c6,0.9312,0.2858
i1_c7,0.956,0.2956
i1_g,0.552,0.379
i2_c0,0.94,0.2781
i2_c1,0.9376,0.2727
i2_c2,0.9456,0.2935
i2_c3,0.944,0.2702
i2_c4,0.9472,0.3026
i2_c5,0.9368,0.263
i2_c6,0.9352,0.2761
i2_c7,0.9584,0.2893
i2_g,0.5462,0.3745
i3_c0,0.9328,0.2811
i3_c1,0.9376,0.2738
i3_c2,0.9536,0.3061
i3_c3,0.9528,0.2888
i3_c4,0.9584,0.3022
i3_c5,0.9552,0.2635
i3_c6,0.9416,0.2689
i3_c7,0.944,0.2953
i3_g,0.5612,0.3844
i4_c0,0.9392,0.2959
i4_c1,0.9408,0.2773
i4_c2,0.9472,0.2849
i4_c3,0.9448,0.2647
i4_c4,0.9448,0.3057
i4_c5,0.9352,0.2518
i4_c6,0.9408,0.2788
i4_c7,0.96,0.2968
i4_g,0.5546,0.3775
