,train_acc,test_acc
i0_c0,0.7472,0.1579
i0_c1,0.7648,0.1247
i0_c2,0.76,0.1407
i0_c3,0.7776,0.1318
i0_c4,0.7744,0.1546
i0_c5,0.792,0.1378
i0_c6,0.7184,0.1323
i0_c7,0.7792,0.1701
i0_c8,0.84,0.1745
i0_c9,0.8048,0.1704
i0_c10,0.8,0.1407
i0_c11,0.7184,0.1315
i0_c12,0.704,0.1156
i0_c13,0.7552,0.1627
i0_c14,0.7552,0.1342
i0_c15,0.8224,0.156
i0_g,0.2021,0.1625
i1_c0,0.816,0.2217
i1_c1,0.8448,0.2023
i1_c2,0.84,0.2183
i1_c3,0.856,0.2206
i1_c4,0.8512,0.2285
i1_c5,0.864,0.2281
i1_c6,0.8112,0.2034
i1_c7,0.856,0.2449
i1_c8,0.8864,0.2776
i1_c9,0.8512,0.2409
i1_c10,0.856,0.2407
i1_c11,0.7984,0.1988
i1_c12,0.8304,0.1946
i1_c13,0.832,0.2283
i1_c14,0.8512,0.237
i1_c15,0.8784,0.2388
i1_g,0.3669,0.2684
i2_c0,0.8672,0.2779
i2_c1,0.8768,0.2549
i2_c2,0.8784,0.2689
i2_c3,0.8912,0.2709
i2_c4,0.888,0.2808
i2_c5,0.9104,0.2832
i2_c6,0.8688,0.2588
i2_c7,0.8864,0.302
i2_c8,0.9168,0.339
i2_c9,0.8816,0.2973
i2_c10,0.8912,0.2958
i2_c11,0.856,0.2565
i2_c12,0.88,0.2572
i2_c13,0.8656,0.2698
i2_c14,0.8944,0.2819
i2_c15,0.912,0.3005
i2_g,0.4911,0.34
i3_c0,0.9136,0.3195
i3_c1,0.9056,0.2987
i3_c2,0.9072,0.3001
i3_c3,0.9168,0.3343
i3_c4,0.904,0.3174
i3_c5,0.9248,0.3366
i3_c6,0.896,0.2957
i3_c7,0.904,0.3429
i3_c8,0.9296,0.3673
i3_c9,0.9072,0.337
i3_c10,0.9072,0.3397
i3_c11,0.9008,0.3095
i3_c12,0.9008,0.3093
i3_c13,0.8912,0.3208
i3_c14,0.9168,0.3282
i3_c15,0.944,0.3543
i3_g,0.5713,0.39
i4_c0,0.9376,0.3599
i4_c1,0.9344,0.3428
i4_c2,0.9248,0.3333
i4_c3,0.9392,0.3755
i4_c4,0.9328,0.3595
i4_c5,0.944,0.3726
i4_c6,0.9168,0.3363
i4_c7,0.928,0.3701
i4_c8,0.9536,0.391
i4_c9,0.9328,0.3627
i4_c10,0.9344,0.3657
i4_c11,0.9232,0.3458
i4_c12,0.92,0.3408
i4_c13,0.9264,0.3403
i4_c14,0.9392,0.3548
i4_c15,0.9504,0.3771
