,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.8958,0.8165,0.7466,0.7099
i0_c1,0.8762,0.8119,0.7326,0.7022
i0_g,0.7928,0.7662,,
i1_c0,0.904,0.8236,0.7898,0.7441
i1_c1,0.883,0.8182,0.799,0.7601
i1_g,0.8262,0.7937,,
i2_c0,0.9084,0.8223,0.7994,0.7548
i2_c1,0.9026,0.8312,0.7984,0.7586
i2_g,0.8208,0.7921,,
i3_c0,0.9112,0.8302,0.8242,0.7685
i3_c1,0.904,0.8335,0.8042,0.7649
i3_g,0.8439,0.8079,,
i4_c0,0.9144,0.8313,0.8176,0.7664
i4_c1,0.9042,0.8375,0.8106,0.7726
i4_g,0.8384,0.8103,,
i5_c0,0.9144,0.8259,0.827,0.7766
i5_c1,0.9098,0.8368,0.8274,0.7817
i5_g,0.8479,0.8152,,
i6_c0,0.9132,0.836,0.831,0.7886
i6_c1,0.9052,0.8367,0.8162,0.7709
i6_g,0.8478,0.8166,,
i7_c0,0.9152,0.8328,0.8296,0.7847
i7_c1,0.9068,0.8378,0.8092,0.7756
i7_g,0.8563,0.8254,,
i8_c0,0.919,0.8384,0.8324,0.7813
i8_c1,0.9086,0.8364,0.824,0.7854
i8_g,0.8526,0.8262,,
i9_c0,0.9194,0.838,0.8598,0.802
i9_c1,0.9092,0.8362,0.822,0.7803
i9_g,0.8589,0.8262,,
