,0,1,2
0.1,0.6484777777777778,0.6568222222222222,0.4998833333333333
0.2,0.6429111111111111,0.6329,0.5001666666666668
0.3,0.6422222222222221,0.6399,0.5014666666666666
0.4,0.6444,0.6416999999999999,0.5015666666666667
0.5,0.6507999999999999,0.6537111111111111,0.5024666666666667
0.6,0.6536555555555555,0.6562111111111111,0.5035916666666665
0.7,0.6439111111111111,0.6529333333333333,0.5048083333333334
0.8,0.6548222222222222,0.6591222222222222,0.5069750000000001
0.9,0.6524777777777778,0.6600333333333334,0.5075583333333333
1.0,0.6507444444444445,0.6590333333333332,0.5101
2.0,0.6513555555555556,0.6697777777777779,0.5207166666666666
3.0,0.6486111111111111,0.6748333333333334,0.5271
4.0,0.6487777777777778,0.6781666666666667,0.5302333333333333
5.0,0.6450222222222223,0.6764333333333333,0.5319083333333333
6.0,0.6477222222222222,0.6791111111111111,0.5326916666666667
7.0,0.6460555555555555,0.6783555555555556,0.5332666666666667
8.0,0.6459888888888888,0.6793444444444444,0.533325
9.0,0.6464444444444445,0.6809555555555556,0.5340333333333334
10.0,0.6460666666666667,0.6805888888888889,0.5346000000000001
