,0,1,2,3,4,5,6,7,8
0.1,0.8412296296296295,0.8244296296296297,0.8553925925925926,0.8321037037037037,0.8399555555555556,0.8431851851851854,0.837037037037037,0.8197777777777778,0.5000583333333334
0.2,0.8197185185185184,0.8362370370370371,0.8431407407407407,0.8513777777777779,0.8496444444444444,0.8528592592592593,0.8203999999999999,0.8632148148148149,0.50005
0.3,0.8418666666666667,0.8580296296296296,0.8427111111111113,0.8216148148148147,0.8445333333333335,0.8625629629629631,0.8011111111111111,0.8576296296296295,0.501
0.4,0.8422518518518518,0.8368444444444445,0.8506962962962964,0.8490962962962962,0.8500000000000001,0.8313037037037038,0.8490518518518518,0.845111111111111,0.5009
0.5,0.8338370370370369,0.8595555555555556,0.8616000000000001,0.8500888888888888,0.8572000000000001,0.8354962962962964,0.8420740740740739,0.8505185185185186,0.5021
0.6,0.8586962962962962,0.8361333333333335,0.8391259259259259,0.8540000000000001,0.8657185185185186,0.8619851851851853,0.8416592592592593,0.8377925925925925,0.50265
0.7,0.8690074074074073,0.8607407407407407,0.8413185185185187,0.8516592592592594,0.8504148148148148,0.8553777777777779,0.8453037037037037,0.8681333333333333,0.5037666666666666
0.8,0.8670074074074073,0.8515407407407408,0.8733925925925927,0.8350074074074074,0.8510222222222222,0.8493037037037038,0.8317185185185186,0.8647851851851852,0.5034333333333333
0.9,0.8509185185185184,0.8627259259259259,0.8557185185185187,0.8578666666666667,0.8422074074074074,0.8719555555555556,0.832637037037037,0.8736592592592594,0.5048083333333334
1.0,0.8758814814814815,0.8717777777777779,0.8641925925925925,0.8623111111111111,0.8715703703703704,0.8628740740740741,0.8529629629629628,0.8621185185185185,0.5040749999999999
2.0,0.8761629629629629,0.878488888888889,0.8804592592592592,0.882,0.876562962962963,0.8773037037037038,0.8218962962962962,0.8807555555555556,0.503675
3.0,0.8842962962962962,0.8848296296296296,0.8847703703703704,0.8866962962962962,0.8829037037037036,0.8849037037037037,0.8250222222222222,0.8871703703703705,0.5028666666666667
4.0,0.8877925925925926,0.8876000000000001,0.8882222222222224,0.8872592592592593,0.8850370370370371,0.8880296296296297,0.8202370370370371,0.8873629629629628,0.5028166666666666
5.0,0.8900296296296296,0.8893333333333334,0.8893185185185185,0.8897037037037038,0.8893777777777777,0.8893333333333334,0.818237037037037,0.8896148148148146,0.50285
6.0,0.8909481481481482,0.8900592592592593,0.8906962962962964,0.8917037037037036,0.8913037037037038,0.8895407407407409,0.8227703703703705,0.8893185185185185,0.5028
7.0,0.8912148148148148,0.8905481481481482,0.8901925925925926,0.8914518518518518,0.8908444444444444,0.8915259259259259,0.8178666666666666,0.891022222222222,0.50245
8.0,0.891511111111111,0.8911407407407408,0.8904444444444444,0.8924592592592594,0.8909037037037036,0.892251851851852,0.8166814814814813,0.8916000000000001,0.5025499999999999
9.0,0.8921481481481481,0.8925777777777779,0.8923407407407407,0.8929481481481482,0.8918962962962963,0.8913037037037038,0.818311111111111,0.8905333333333333,0.5025666666666666
10.0,0.892474074074074,0.8924740740740741,0.8919407407407407,0.8930814814814815,0.8914666666666666,0.8912148148148149,0.8202222222222222,0.8916000000000001,0.502525
