,0,1,2,3,4
0.1,0.7682000000000001,0.7602266666666667,0.7602000000000001,0.7702666666666667,0.49993333333333334
0.2,0.7516266666666667,0.7768,0.7549866666666668,0.7602000000000001,0.5007833333333332
0.3,0.7855466666666667,0.7784266666666667,0.7688266666666667,0.7537733333333333,0.5020416666666666
0.4,0.7486400000000001,0.78168,0.77344,0.7817599999999999,0.5036083333333333
0.5,0.7625600000000001,0.7756666666666666,0.7669199999999999,0.7706533333333333,0.5044666666666666
0.6,0.7688933333333333,0.7704933333333334,0.7687733333333333,0.7676666666666666,0.5069666666666667
0.7,0.7750666666666667,0.7711199999999999,0.7604133333333333,0.78292,0.5073833333333333
0.8,0.7701466666666668,0.76212,0.7645733333333333,0.7792266666666667,0.5105416666666667
0.9,0.7669200000000002,0.7675466666666667,0.7539333333333333,0.7784933333333334,0.5107833333333334
1.0,0.7798266666666667,0.77368,0.7601066666666667,0.7820666666666667,0.5125000000000001
2.0,0.7826666666666667,0.7781066666666666,0.7431733333333334,0.7881066666666667,0.5221999999999999
3.0,0.7846266666666667,0.78384,0.7434799999999999,0.7889866666666667,0.526925
4.0,0.78544,0.78432,0.74032,0.7808,0.5275833333333333
5.0,0.7858800000000001,0.7828533333333333,0.7365866666666667,0.7807466666666666,0.5289333333333333
6.0,0.7843333333333334,0.7829066666666668,0.7361333333333334,0.783,0.5299583333333334
7.0,0.78388,0.7821066666666666,0.7355733333333333,0.7823733333333333,0.530425
8.0,0.7822133333333334,0.7827866666666666,0.7363200000000001,0.7841333333333332,0.5299416666666666
9.0,0.7833200000000001,0.7835866666666668,0.7365733333333333,0.78268,0.5307083333333332
10.0,0.7825733333333335,0.7824,0.7366400000000001,0.7821733333333333,0.5305333333333334
