file_name,train_acc,test_acc,it,client,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
i0_c0.npy,0.3208,0.1419,0,c0,0.5448,0.0021817424229271538,0.7387585111351438,0.027249121391105875,0.14006666666666667,0.014476494357712743
i0_c1.npy,0.3044,0.145,0,c1,0.5428999999999999,0.0015821925715074423,0.7568761140715581,0.03071907724049016,0.12760000000000002,0.009563820714895628
i0_c2.npy,0.3092,0.1415,0,c2,0.5357999999999999,0.0019832633040857725,0.7503274053642986,0.031103017564592893,0.10826666666666666,0.008032157590308816
i0_c3.npy,0.3172,0.1457,0,c3,0.5402,0.0016206994374857759,0.7642494699347848,0.03581404386833801,0.11806666666666665,0.014054022753487902
i0_g.npy,0.2919,0.2198,0,g,0.5037666666666667,0.00037379435820010173,0.6112041240511283,0.03358813320224506,0.02385,0.0102750101378701
i1_c0.npy,0.4568,0.2091,1,c0,0.5922,0.0026558112382722688,0.6889662530759936,0.013470265359127844,0.33713333333333334,0.013103519459375117
i1_c1.npy,0.464,0.216,1,c1,0.6050333333333334,0.003918191192657928,0.7195632995007929,0.01689521248930896,0.3452,0.01195547294477862
i1_c2.npy,0.446,0.212,1,c2,0.5925666666666666,0.0048185982286230375,0.7161794473833,0.018170682220964966,0.30760000000000004,0.012912009913255189
i1_c3.npy,0.442,0.218,1,c3,0.5939666666666666,0.003992353803070171,0.7016734795786786,0.01534066723605976,0.32780000000000004,0.01215839901741453
i1_g.npy,0.4185,0.2922,1,g,0.5390333333333334,0.002191967659939862,0.6381834725552467,0.01491535096463934,0.18184999999999998,0.016635479153504013
i2_c0.npy,0.5392,0.2624,2,c0,0.6358333333333334,0.005705455478944863,0.6843228137342319,0.011612912575520388,0.5049333333333333,0.009972406374034768
i2_c1.npy,0.538,0.2584,2,c1,0.6243000000000001,0.006066025607155542,0.6728813604784797,0.01286122032246975,0.4846,0.007428772891041071
i2_c2.npy,0.5228,0.2647,2,c2,0.6279666666666667,0.004713691641260467,0.6770801835166318,0.009747070821313467,0.48973333333333335,0.007925205920913935
i2_c3.npy,0.5128,0.2573,2,c3,0.6207999999999999,0.0032537158245099823,0.6733823161940672,0.008555096211719616,0.46959999999999996,0.006721111019268564
i2_g.npy,0.5037,0.3315,2,g,0.5785083333333333,0.0029487874155697154,0.6303709802867212,0.008614906162039677,0.38048333333333334,0.014933789055546343
i3_c0.npy,0.5992,0.2928,3,c0,0.652,0.007494887146137251,0.6638714548747119,0.011408308474938008,0.6166,0.01058489489791939
i3_c1.npy,0.5736,0.2872,3,c1,0.6386333333333334,0.005500808021453647,0.6537005928450497,0.009904125209520704,0.5905333333333334,0.01294844478005843
i3_c2.npy,0.5812,0.289,3,c2,0.6468333333333334,0.005024495552347054,0.6636544699821344,0.006584851683773219,0.5956666666666667,0.012038641488510603
i3_c3.npy,0.5752,0.2861,3,c3,0.6547666666666667,0.007309734757309749,0.6717748134738194,0.011600875010498286,0.6059333333333333,0.005476819839610907
i3_g.npy,0.5552,0.3545,3,g,0.5997666666666667,0.003556058992136603,0.6182615549601417,0.00708091993558018,0.5223833333333333,0.014109974801142941
i4_c0.npy,0.6296,0.3114,4,c0,0.6559666666666667,0.008353375897736732,0.6508667741093282,0.010761379335413058,0.6736666666666666,0.008676148659143375
i4_c1.npy,0.624,0.3126,4,c1,0.6548,0.008141252974819055,0.6528541626312482,0.009699965704469642,0.6616,0.007638498979947981
i4_c2.npy,0.6208,0.3069,4,c2,0.6560666666666667,0.005768496819411085,0.6519645669900701,0.007292701893861273,0.6698666666666666,0.00722095715416055
i4_c3.npy,0.6324,0.311,4,c3,0.6602666666666667,0.007899085741752373,0.6570749970739852,0.010478333680690727,0.6710666666666666,0.004129030017920526
i4_g.npy,0.5931,0.3736,4,g,0.6123666666666666,0.004054387198524056,0.6117883899374211,0.00560983620937968,0.61545,0.011690843995765782
