,train_acc,test_acc
i0_c0,0.8252,0.7431
i0_c1,0.81,0.738
i0_g,0.7974,0.7618
i1_c0,0.8534,0.7799
i1_c1,0.8486,0.7789
i1_g,0.8424,0.7987
i2_c0,0.875,0.7962
i2_c1,0.8688,0.7992
i2_g,0.8583,0.8177
i3_c0,0.8832,0.8101
i3_c1,0.8752,0.8088
i3_g,0.867,0.8253
i4_c0,0.8872,0.8125
i4_c1,0.8846,0.8163
i4_g,0.8714,0.8286
i5_c0,0.8902,0.818
i5_c1,0.8878,0.8175
i5_g,0.8728,0.8323
i6_c0,0.8938,0.8197
i6_c1,0.8918,0.8232
i6_g,0.8776,0.8381
i7_c0,0.8952,0.8198
i7_c1,0.8912,0.8195
i7_g,0.8795,0.8384
i8_c0,0.8932,0.826
i8_c1,0.8928,0.8235
i8_g,0.881,0.8422
i9_c0,0.8984,0.8231
i9_c1,0.8966,0.8287
i9_g,0.8822,0.8408
