,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.8838,0.8094,0.878,0.8053
i0_c1,0.878,0.8213,0.8776,0.8205
i0_g,0.8747,0.8352,,
i1_c0,0.9038,0.825,0.9014,0.825
i1_c1,0.8894,0.8236,0.8898,0.8205
i1_g,0.8869,0.8413,,
i2_c0,0.9136,0.8326,0.9126,0.8304
i2_c1,0.9,0.8285,0.8974,0.8276
i2_g,0.8915,0.8483,,
i3_c0,0.9092,0.8258,0.9078,0.8246
i3_c1,0.9008,0.8348,0.8998,0.8341
i3_g,0.8922,0.8485,,
i4_c0,0.9186,0.829,0.9164,0.8284
i4_c1,0.895,0.8315,0.891,0.8305
i4_g,0.8945,0.8516,,
i5_c0,0.917,0.8357,0.9132,0.8357
i5_c1,0.9146,0.8365,0.913,0.8345
i5_g,0.8967,0.8541,,
i6_c0,0.9146,0.8326,0.9128,0.8331
i6_c1,0.9078,0.8326,0.9062,0.8301
i6_g,0.8929,0.8513,,
i7_c0,0.9144,0.8354,0.9144,0.8358
i7_c1,0.9072,0.8321,0.905,0.8322
i7_g,0.8955,0.8542,,
i8_c0,0.9174,0.8376,0.9206,0.8371
i8_c1,0.9126,0.8388,0.9148,0.8374
i8_g,0.8978,0.8548,,
i9_c0,0.9152,0.8394,0.9134,0.8386
i9_c1,0.9108,0.8393,0.9112,0.8388
i9_g,0.8977,0.8574,,
