,0,1
i0_c0,1.0,0.3174
i0_c1,1.0,0.3092
i0_c2,1.0,0.3235
i0_c3,1.0,0.3134
i0_c4,1.0,0.3161
i0_c5,1.0,0.3072
i0_c6,1.0,0.3119
i0_c7,1.0,0.3139
i0_g,0.8386,0.5243
i1_c0,1.0,0.3141
i1_c1,1.0,0.307
i1_c2,1.0,0.3252
i1_c3,1.0,0.3106
i1_c4,1.0,0.3173
i1_c5,1.0,0.3089
i1_c6,1.0,0.3127
i1_c7,1.0,0.3122
i1_g,0.8381,0.5211
i2_c0,1.0,0.3147
i2_c1,1.0,0.3087
i2_c2,1.0,0.3264
i2_c3,1.0,0.3135
i2_c4,1.0,0.3172
i2_c5,1.0,0.3075
i2_c6,1.0,0.3119
i2_c7,1.0,0.3134
i2_g,0.8354,0.5193
i3_c0,1.0,0.3146
i3_c1,1.0,0.3092
i3_c2,1.0,0.325
i3_c3,1.0,0.3109
i3_c4,1.0,0.3185
i3_c5,1.0,0.3081
i3_c6,1.0,0.3127
i3_c7,1.0,0.3142
i3_g,0.8393,0.5217
i4_c0,1.0,0.317
i4_c1,1.0,0.3081
i4_c2,1.0,0.3255
i4_c3,1.0,0.3126
i4_c4,1.0,0.319
i4_c5,1.0,0.3073
i4_c6,1.0,0.3117
i4_c7,1.0,0.3142
i4_g,0.8372,0.5209
