,train_acc,test_acc
i0_c0,0.5076,0.2534
i0_c1,0.5314,0.2738
i0_g,0.4764,0.3104
i1_c0,0.6982,0.3852
i1_c1,0.7054,0.4018
i1_g,0.725,0.4701
