file_name,train_acc,test_acc,it,client,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
i0_c0.npy,0.8468,0.6986,0,c0,0.5767333333333333,0.0015902480589168643,0.5521802039938971,0.004540949747450231,0.818,0.07048177069285361
i0_c1.npy,0.8288,0.6925,0,c1,0.5688666666666667,0.0027511613709284323,0.547214461126314,0.007612346756514122,0.8094666666666667,0.06738453498804865
i0_c2.npy,0.828,0.6906,0,c2,0.5710000000000001,0.00044721359549995833,0.5490182316274134,0.0054799871093950125,0.8029999999999999,0.06987102403715004
i0_c3.npy,0.8296,0.7114,0,c3,0.5679666666666666,0.0019846634195472414,0.5463636485171527,0.006911310079923047,0.8114666666666666,0.06863377853182466
i0_g.npy,0.7863,0.7477,0,g,0.5246749999999999,0.00016770509831250712,0.5166457515903332,0.0021616100697697755,0.7766000000000001,0.08291680569502582
i1_c0.npy,0.8908,0.7445,1,c0,0.5753,0.0004725815626252558,0.5475607680749198,0.003408533560582921,0.8707333333333334,0.05363701043951729
i1_c1.npy,0.8728,0.7384,1,c1,0.5705666666666667,0.0003543381937578122,0.5447687185141454,0.0033573579642918287,0.8628,0.055099909255823636
i1_c2.npy,0.8736,0.7346,1,c2,0.5649666666666666,0.0008279828232249388,0.5413522747241347,0.003908552829146767,0.8557333333333333,0.054621932916691596
i1_c3.npy,0.866,0.7482,1,c3,0.5691,0.000690410505906937,0.5441246936979478,0.0039928434349855765,0.8570666666666665,0.054144333857652084
i1_g.npy,0.829,0.7878,1,g,0.5221083333333333,0.0006451205744320337,0.5139443165828819,0.0017023664048196152,0.8223166666666666,0.060562210898289455
i2_c0.npy,0.9076,0.7626,2,c0,0.5736666666666667,0.0002211083193570023,0.5449846746030794,0.002824797478102345,0.8953333333333333,0.045675765516907926
i2_c1.npy,0.8912,0.764,2,c1,0.5661999999999999,0.0014468356276140513,0.5408873443815422,0.003605155786882273,0.8798666666666667,0.0453776254214441
i2_c2.npy,0.89,0.7616,2,c2,0.5622333333333333,0.0009758187445536412,0.5383702860794647,0.0030436264723667805,0.8767999999999999,0.044543312255227126
i2_c3.npy,0.8844,0.7744,2,c3,0.5609000000000001,0.00437073601734688,0.5375592199704099,0.005392931964556045,0.8784,0.04293374741001148
i2_g.npy,0.8481,0.8086,2,g,0.5237750000000001,0.0003250000000000055,0.5145027741067482,0.0008214576843264258,0.8464166666666667,0.052781828207148024
i3_c0.npy,0.9224,0.7795,3,c0,0.5719666666666666,0.0009826268648655925,0.5432126225507591,0.001730528888627819,0.9063333333333334,0.0425484299227232
i3_c1.npy,0.9044,0.7691,3,c1,0.5694333333333335,0.0016509256662719859,0.5421914443652214,0.0013727025970021415,0.8936666666666665,0.04493041533551878
i3_c2.npy,0.8988,0.7765,3,c2,0.5596000000000001,0.0005887840577551626,0.5360978096612524,0.0023633182846170787,0.8878666666666666,0.04126381250226672
i3_c3.npy,0.894,0.782,3,c3,0.5601000000000002,0.004161329915623927,0.5365569685009297,0.005009637707752512,0.8883333333333333,0.04129530508692509
i3_g.npy,0.8568,0.8184,3,g,0.5229666666666667,0.0002426703296426966,0.5138659534786275,0.0006995690696360398,0.85345,0.04622047706374308
i4_c0.npy,0.9208,0.7824,4,c0,0.5735666666666667,0.0009758187445536166,0.5440443211780264,0.001563893468869417,0.9100666666666667,0.0392070855274344
i4_c1.npy,0.9064,0.7812,4,c1,0.5666666666666665,0.00018856180831639191,0.5400770842068978,0.002037659747326346,0.9003333333333335,0.038075305499613354
i4_c2.npy,0.8992,0.7809,4,c2,0.5612666666666667,0.0020450482200237087,0.5368682392735454,0.0031291206622266203,0.8953333333333333,0.03547894524299669
i4_c3.npy,0.9036,0.7844,4,c3,0.5645666666666667,0.0032422557305404258,0.5389129700571748,0.0041621981800978826,0.8984666666666666,0.03670379937947689
i4_g.npy,0.8635,0.8221,4,g,0.5229666666666667,0.0006295942255841479,0.5137023201809137,0.00039534090941185744,0.86225,0.04425241048048495
i5_c0.npy,0.9236,0.7856,5,c0,0.5714666666666668,0.002748737083745113,0.5424251075159223,0.003705028979199062,0.9168666666666665,0.0331239423311229
i5_c1.npy,0.9184,0.781,5,c1,0.5685666666666666,0.0011685698761972334,0.5409861844902787,0.0012319085215589359,0.9061333333333333,0.03816362433289352
i5_c2.npy,0.904,0.7889,5,c2,0.5581666666666667,0.0041302407785610866,0.5348672369214394,0.0042954735607888695,0.8967333333333333,0.031994513418536104
i5_c3.npy,0.9116,0.795,5,c3,0.5605,0.0014776106839534298,0.5360415802333373,0.002717719116449379,0.9026666666666667,0.036435635791839206
i5_g.npy,0.8701,0.8301,5,g,0.5223916666666667,0.00026523050771399176,0.5132957014522824,0.0008172058872464198,0.8669000000000001,0.0399377432178301
i6_c0.npy,0.9248,0.7898,6,c0,0.5694333333333333,0.0013337499349161883,0.5410384065262558,0.0026729908159455616,0.9176666666666667,0.033661385724430413
i6_c1.npy,0.9152,0.7845,6,c1,0.5638666666666667,0.000319722101554177,0.5379286660852132,0.001940973610684331,0.9076666666666666,0.03634458541363333
i6_c2.npy,0.9112,0.7938,6,c2,0.5562666666666668,0.0012364824660661172,0.533421031329588,0.00229254678844187,0.9004666666666669,0.03402306407260946
i6_c3.npy,0.9096,0.7967,6,c3,0.5615333333333333,0.0007803133273813189,0.5366968649535733,0.0019860840481713414,0.9016666666666667,0.031335957336935186
i6_g.npy,0.8715,0.8313,6,g,0.5226500000000001,0.00030138568866709827,0.5134052034653444,0.0005146768648489545,0.8689166666666667,0.038646966964505196
i7_c0.npy,0.9308,0.7924,7,c0,0.5699666666666666,0.0019846634195472414,0.5412334746180277,0.0028888096753753793,0.9206000000000002,0.029606981158728975
i7_c1.npy,0.9236,0.7909,7,c1,0.5667333333333334,0.00029814239699993915,0.5393914331755332,0.0017173125231072616,0.9154000000000001,0.037297899851510885
i7_c2.npy,0.914,0.7965,7,c2,0.5595666666666667,0.0015552777529717374,0.5351702912714381,0.002477166228899705,0.9087999999999999,0.032915244695024395
i7_c3.npy,0.9108,0.803,7,c3,0.5594666666666667,0.0014951774328003816,0.5351792463883052,0.0024768322990258796,0.9070666666666666,0.032679181276294086
i7_g.npy,0.8723,0.8331,7,g,0.5220333333333333,0.0003274480450731461,0.5130132149166438,0.0008091210436500242,0.8708666666666667,0.036032099886382174
i8_c0.npy,0.9316,0.7918,8,c0,0.5716666666666667,0.0012472191289246571,0.5419941655981177,0.0024767894291438854,0.9268666666666667,0.03115588048649707
i8_c1.npy,0.9212,0.7899,8,c1,0.5638666666666667,0.0007803133273813045,0.5377510224045011,0.002187886267671273,0.9117999999999999,0.03443544685349678
i8_c2.npy,0.9192,0.7977,8,c2,0.5585666666666667,0.0005343739847293569,0.5345098559305335,0.0016851315149940158,0.9086666666666666,0.031428790764025404
i8_c3.npy,0.9188,0.797,8,c3,0.5649333333333334,0.0025342103744997718,0.5384051647038147,0.0031840381182442236,0.9129999999999999,0.029963310898497193
i8_g.npy,0.875,0.8345,8,g,0.5224916666666667,0.00038559117670864117,0.5132555838426142,0.0008341620436125074,0.8730833333333333,0.03469929954464339
i9_c0.npy,0.9324,0.7972,9,c0,0.5691333333333334,0.0010241527663824913,0.5403422561228829,0.002236937861335379,0.9277333333333334,0.030829134849287534
i9_c1.npy,0.9216,0.7919,9,c1,0.5646333333333333,0.00045338235029118864,0.5380775171248575,0.001753870010961705,0.9148,0.031484175919552534
i9_c2.npy,0.9184,0.7989,9,c2,0.5587333333333332,0.002714569742866968,0.5346273889337079,0.003101021481979465,0.9096666666666667,0.029190333255301404
i9_c3.npy,0.914,0.8022,9,c3,0.5632,0.0009865765724632646,0.5373435585230036,0.0021210099892912154,0.9112,0.03076881538181148
i9_g.npy,0.8762,0.8348,9,g,0.5220833333333333,0.0005304610154279678,0.5129694915103432,0.0002398479542138376,0.8740833333333332,0.03545839894235999
