,train_acc,test_acc
i0_c0,0.9052,0.826
i0_c1,0.896,0.8225
i0_g,0.8893,0.8486
i1_c0,0.9148,0.8283
i1_c1,0.9038,0.8305
i1_g,0.8915,0.849
i2_c0,0.9184,0.8329
i2_c1,0.9022,0.8295
i2_g,0.8933,0.8522
i3_c0,0.9166,0.8319
i3_c1,0.9022,0.8232
i3_g,0.8918,0.8517
i4_c0,0.9226,0.8312
i4_c1,0.9136,0.8365
i4_g,0.8968,0.8532
i5_c0,0.9222,0.8371
i5_c1,0.9136,0.8396
i5_g,0.8983,0.8564
i6_c0,0.924,0.8326
i6_c1,0.9114,0.8407
i6_g,0.8977,0.8535
i7_c0,0.9254,0.8362
i7_c1,0.9136,0.8385
i7_g,0.8977,0.8525
i8_c0,0.9222,0.8347
i8_c1,0.9138,0.837
i8_g,0.9009,0.8532
i9_c0,0.9274,0.835
i9_c1,0.9176,0.8378
i9_g,0.9011,0.8557
