,train_acc,test_acc
i0_c0,0.5408,0.4092
i0_c1,0.5344,0.4009
i0_c2,0.5432,0.4317
i0_c3,0.532,0.4143
i0_c4,0.492,0.3927
i0_c5,0.5152,0.3934
i0_c6,0.5144,0.4166
i0_c7,0.5208,0.4205
i0_g,0.596,0.5712
i1_c0,0.5968,0.4572
i1_c1,0.572,0.4465
i1_c2,0.5736,0.442
i1_c3,0.5512,0.4281
i1_c4,0.5632,0.4608
i1_c5,0.552,0.445
i1_c6,0.568,0.4668
i1_c7,0.548,0.4529
i1_g,0.6363,0.6061
i2_c0,0.5704,0.465
i2_c1,0.608,0.4893
i2_c2,0.588,0.458
i2_c3,0.6056,0.482
i2_c4,0.5608,0.4918
i2_c5,0.5912,0.4585
i2_c6,0.5728,0.4439
i2_c7,0.5592,0.4851
i2_g,0.6589,0.6255
i3_c0,0.5856,0.4954
i3_c1,0.5808,0.4993
i3_c2,0.624,0.4977
i3_c3,0.6072,0.4961
i3_c4,0.6008,0.4885
i3_c5,0.6072,0.5167
i3_c6,0.604,0.5039
i3_c7,0.5984,0.4883
i3_g,0.6852,0.6609
i4_c0,0.6152,0.5038
i4_c1,0.6344,0.5192
i4_c2,0.6088,0.5043
i4_c3,0.6448,0.5124
i4_c4,0.64,0.5112
i4_c5,0.6136,0.5008
i4_c6,0.6368,0.5289
i4_c7,0.6032,0.5247
i4_g,0.7045,0.6663
i5_c0,0.636,0.5454
i5_c1,0.6408,0.5202
i5_c2,0.6464,0.5329
i5_c3,0.6432,0.5277
i5_c4,0.6192,0.5151
i5_c5,0.6568,0.5041
i5_c6,0.6744,0.5521
i5_c7,0.624,0.5238
i5_g,0.7126,0.6818
i6_c0,0.6592,0.5455
i6_c1,0.6392,0.5349
i6_c2,0.6136,0.522
i6_c3,0.6392,0.5319
i6_c4,0.6176,0.5139
i6_c5,0.6328,0.5264
i6_c6,0.6224,0.5094
i6_c7,0.628,0.5423
i6_g,0.7119,0.6872
i7_c0,0.668,0.5414
i7_c1,0.6584,0.532
i7_c2,0.6384,0.5443
i7_c3,0.6504,0.5265
i7_c4,0.6432,0.5404
i7_c5,0.672,0.5445
i7_c6,0.6416,0.5069
i7_c7,0.648,0.5464
i7_g,0.7194,0.6889
i8_c0,0.6512,0.5416
i8_c1,0.672,0.5588
i8_c2,0.6592,0.5455
i8_c3,0.68,0.5425
i8_c4,0.6416,0.544
i8_c5,0.6752,0.5322
i8_c6,0.6624,0.561
i8_c7,0.656,0.5429
i8_g,0.7237,0.6986
i9_c0,0.6496,0.5393
i9_c1,0.676,0.5674
i9_c2,0.6776,0.5406
i9_c3,0.6696,0.575
i9_c4,0.652,0.5594
i9_c5,0.6496,0.5531
i9_c6,0.6528,0.541
i9_c7,0.6256,0.5493
i9_g,0.7421,0.7097
