,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.952,0.5748,0.1248,0.1357
i0_c1,0.9696,0.5621,0.1168,0.1205
i0_c2,0.9568,0.5565,0.12,0.1388
i0_c3,0.9536,0.574,0.1536,0.1276
i0_c4,0.96,0.5649,0.1392,0.1668
i0_c5,0.9552,0.5768,0.1312,0.1335
i0_c6,0.9664,0.5464,0.1264,0.1242
i0_c7,0.9536,0.5769,0.2112,0.19
i0_c8,0.9424,0.567,0.104,0.1268
i0_c9,0.9424,0.5593,0.1552,0.1523
i0_c10,0.9712,0.5358,0.144,0.1229
i0_c11,0.944,0.5868,0.1568,0.1297
i0_c12,0.9616,0.5685,0.136,0.1434
i0_c13,0.9488,0.5593,0.1504,0.1525
i0_c14,0.9312,0.5872,0.16,0.1636
i0_c15,0.9568,0.5579,0.1616,0.17
i0_g,0.1664,0.1616,,
i1_c0,0.176,0.1629,0.2048,0.1679
i1_c1,0.1472,0.1629,0.1488,0.1377
i1_c2,0.1696,0.1629,0.144,0.1315
i1_c3,0.1536,0.1628,0.1616,0.1555
i1_c4,0.1712,0.1623,0.1376,0.1392
i1_c5,0.1728,0.1626,0.1712,0.1625
i1_c6,0.152,0.1628,0.1152,0.1149
i1_c7,0.1792,0.1624,0.176,0.1512
i1_c8,0.1744,0.1623,0.16,0.1508
i1_c9,0.1712,0.1628,0.1568,0.1614
i1_c10,0.152,0.1629,0.136,0.1214
i1_c11,0.1904,0.1625,0.1664,0.1572
i1_c12,0.1712,0.1624,0.1472,0.1503
i1_c13,0.1696,0.1625,0.1184,0.1218
i1_c14,0.1424,0.1628,0.1664,0.1689
i1_c15,0.184,0.1626,0.1648,0.145
i1_g,0.1694,0.161,,
i2_c0,0.184,0.1621,0.144,0.1365
i2_c1,0.1408,0.1619,0.1648,0.1597
i2_c2,0.1856,0.1621,0.1312,0.1469
i2_c3,0.1584,0.1622,0.1664,0.163
i2_c4,0.1856,0.1617,0.1616,0.1412
i2_c5,0.1616,0.1616,0.1888,0.1799
i2_c6,0.1712,0.1619,0.1232,0.1218
i2_c7,0.1776,0.1617,0.1456,0.1217
i2_c8,0.1728,0.1614,0.1616,0.1535
i2_c9,0.1632,0.1622,0.1488,0.1473
i2_c10,0.1584,0.1621,0.1648,0.1462
i2_c11,0.168,0.162,0.1408,0.1603
i2_c12,0.1776,0.1619,0.144,0.1438
i2_c13,0.192,0.1615,0.1392,0.1364
i2_c14,0.1392,0.1619,0.1728,0.183
i2_c15,0.1872,0.1616,0.1488,0.1724
i2_g,0.1529,0.1471,,
i3_c0,0.152,0.1473,0.12,0.1218
i3_c1,0.1216,0.1473,0.1328,0.1642
i3_c2,0.1568,0.1479,0.1232,0.1319
i3_c3,0.1584,0.1477,0.128,0.1416
i3_c4,0.1552,0.1475,0.1488,0.1457
i3_c5,0.1632,0.1476,0.1392,0.1569
i3_c6,0.1456,0.1473,0.144,0.1337
i3_c7,0.1728,0.1476,0.1648,0.1551
i3_c8,0.1632,0.1479,0.1568,0.139
i3_c9,0.1472,0.1478,0.144,0.1472
i3_c10,0.1696,0.1474,0.192,0.217
i3_c11,0.1408,0.1475,0.1312,0.1387
i3_c12,0.1552,0.1478,0.1712,0.1583
i3_c13,0.1536,0.1476,0.1728,0.1572
i3_c14,0.1376,0.1477,0.144,0.1581
i3_c15,0.168,0.1474,0.1296,0.1343
i3_g,0.1588,0.1602,,
i4_c0,0.1376,0.1604,0.1616,0.1563
i4_c1,0.144,0.1604,0.1344,0.1579
i4_c2,0.1648,0.1604,0.1264,0.1415
i4_c3,0.1568,0.1606,0.1456,0.1426
i4_c4,0.1472,0.1606,0.1328,0.1483
i4_c5,0.1792,0.1603,0.1584,0.1531
i4_c6,0.1776,0.1602,0.1744,0.1988
i4_c7,0.1552,0.1604,0.1648,0.1638
i4_c8,0.1616,0.1604,0.1568,0.1562
i4_c9,0.1488,0.1606,0.184,0.1853
i4_c10,0.1664,0.1602,0.1584,0.1664
i4_c11,0.1584,0.1607,0.16,0.1837
i4_c12,0.1824,0.1602,0.1792,0.1746
i4_c13,0.1568,0.1603,0.1696,0.1543
i4_c14,0.144,0.1604,0.136,0.1501
i4_c15,0.1728,0.1603,0.1504,0.1535
i4_g,0.1775,0.1741,,
i5_c0,0.1728,0.1747,0.1664,0.1444
i5_c1,0.1616,0.1747,0.1584,0.1629
i5_c2,0.176,0.1746,0.1216,0.1185
i5_c3,0.1888,0.1748,0.1584,0.1486
i5_c4,0.1872,0.1744,0.1696,0.185
i5_c5,0.1872,0.1746,0.1792,0.1853
i5_c6,0.1888,0.1747,0.1488,0.146
i5_c7,0.1712,0.1745,0.136,0.1443
i5_c8,0.1856,0.1747,0.1792,0.1824
i5_c9,0.1728,0.1747,0.1664,0.1891
i5_c10,0.1856,0.175,0.1632,0.1681
i5_c11,0.1728,0.1747,0.1904,0.1749
i5_c12,0.1952,0.1745,0.2064,0.1616
i5_c13,0.1888,0.1744,0.1472,0.1488
i5_c14,0.1488,0.1745,0.1472,0.1701
i5_c15,0.1696,0.1748,0.1712,0.1427
i5_g,0.1863,0.1796,,
i6_c0,0.1776,0.1797,0.1088,0.1369
i6_c1,0.1664,0.1802,0.1872,0.1694
i6_c2,0.1984,0.1804,0.1648,0.1799
i6_c3,0.1952,0.18,0.112,0.1201
i6_c4,0.1968,0.1797,0.144,0.1372
i6_c5,0.1984,0.1799,0.1856,0.2065
i6_c6,0.184,0.1795,0.1376,0.1535
i6_c7,0.176,0.1798,0.1984,0.1785
i6_c8,0.2128,0.1797,0.2048,0.1898
i6_c9,0.1792,0.18,0.1344,0.153
i6_c10,0.208,0.1798,0.1456,0.1487
i6_c11,0.1728,0.18,0.2144,0.1808
i6_c12,0.1952,0.18,0.1824,0.1758
i6_c13,0.1888,0.18,0.1712,0.1533
i6_c14,0.1552,0.1797,0.1776,0.1721
i6_c15,0.1808,0.18,0.1584,0.1579
i6_g,0.1832,0.1807,,
i7_c0,0.1856,0.1808,0.1792,0.165
i7_c1,0.1584,0.1811,0.1488,0.1504
i7_c2,0.184,0.1812,0.1456,0.1796
i7_c3,0.1776,0.1809,0.1744,0.1631
i7_c4,0.1888,0.1811,0.152,0.1526
i7_c5,0.1824,0.1809,0.1424,0.1561
i7_c6,0.2032,0.1807,0.1792,0.1741
i7_c7,0.1968,0.181,0.1584,0.1392
i7_c8,0.2064,0.1811,0.2176,0.1632
i7_c9,0.1744,0.1806,0.1584,0.1713
i7_c10,0.1936,0.1807,0.2096,0.1598
i7_c11,0.1872,0.1811,0.1616,0.1568
i7_c12,0.1808,0.1811,0.1424,0.1501
i7_c13,0.176,0.181,0.1536,0.1641
i7_c14,0.1488,0.181,0.1424,0.1406
i7_c15,0.1904,0.1814,0.192,0.1755
i7_g,0.1831,0.1825,,
i8_c0,0.1664,0.1827,0.1488,0.139
i8_c1,0.1584,0.1825,0.1312,0.1572
i8_c2,0.1744,0.1826,0.1984,0.1757
i8_c3,0.1792,0.1825,0.1856,0.1629
i8_c4,0.1824,0.1825,0.16,0.1461
i8_c5,0.1888,0.1825,0.1776,0.1541
i8_c6,0.2064,0.1826,0.1792,0.176
i8_c7,0.192,0.1826,0.1664,0.1511
i8_c8,0.1952,0.1825,0.1456,0.1548
i8_c9,0.1712,0.1826,0.1792,0.1536
i8_c10,0.2064,0.1826,0.192,0.1536
i8_c11,0.2048,0.1826,0.2112,0.1727
i8_c12,0.184,0.1826,0.16,0.1637
i8_c13,0.1792,0.1825,0.192,0.181
i8_c14,0.1568,0.1825,0.1504,0.1677
i8_c15,0.1904,0.1825,0.1792,0.1654
i8_g,0.1798,0.1697,,
i9_c0,0.1648,0.1697,0.1648,0.1723
i9_c1,0.1744,0.1697,0.1408,0.1597
i9_c2,0.1552,0.1699,0.1328,0.1259
i9_c3,0.192,0.1698,0.1856,0.1519
i9_c4,0.1792,0.1697,0.1872,0.1372
i9_c5,0.1776,0.1699,0.1088,0.129
i9_c6,0.1792,0.17,0.1712,0.1539
i9_c7,0.2096,0.1697,0.1952,0.179
i9_c8,0.2,0.1696,0.1536,0.1343
i9_c9,0.1648,0.1699,0.1472,0.1593
i9_c10,0.1984,0.1699,0.1632,0.1505
i9_c11,0.2048,0.1699,0.1456,0.1504
i9_c12,0.1696,0.1699,0.1712,0.1458
i9_c13,0.1808,0.1697,0.1584,0.1489
i9_c14,0.1504,0.1699,0.1632,0.1663
i9_c15,0.1872,0.1698,0.1536,0.1715
i9_g,0.1624,0.1577,,
