,train_acc,test_acc
i0_c0,0.7696,0.6594
i0_c1,0.764,0.6622
i0_c2,0.7588,0.638
i0_c3,0.752,0.6529
i0_g,0.7684,0.7313
i1_c0,0.828,0.7166
i1_c1,0.8232,0.7051
i1_c2,0.8252,0.7181
i1_c3,0.8148,0.7188
i1_g,0.818,0.7866
i2_c0,0.8564,0.7389
i2_c1,0.8412,0.7277
i2_c2,0.8268,0.7262
i2_c3,0.8428,0.7485
i2_g,0.8462,0.8087
i3_c0,0.8588,0.7464
i3_c1,0.8504,0.7375
i3_c2,0.8628,0.7531
i3_c3,0.8564,0.7634
i3_g,0.8476,0.8124
i4_c0,0.8892,0.7685
i4_c1,0.8688,0.7545
i4_c2,0.8688,0.7622
i4_c3,0.8576,0.7697
i4_g,0.8602,0.8262
i5_c0,0.9012,0.7867
i5_c1,0.874,0.7667
i5_c2,0.8712,0.7667
i5_c3,0.874,0.7734
i5_g,0.8659,0.8261
i6_c0,0.8948,0.7771
i6_c1,0.8828,0.7701
i6_c2,0.8808,0.773
i6_c3,0.8756,0.7825
i6_g,0.865,0.8223
i7_c0,0.896,0.7887
i7_c1,0.8916,0.7829
i7_c2,0.8896,0.782
i7_c3,0.892,0.7863
i7_g,0.8721,0.8347
i8_c0,0.9036,0.7893
i8_c1,0.8936,0.79
i8_c2,0.884,0.787
i8_c3,0.8856,0.7907
i8_g,0.8762,0.8382
i9_c0,0.9132,0.794
i9_c1,0.9,0.7899
i9_c2,0.8896,0.7872
i9_c3,0.8872,0.7924
i9_g,0.8793,0.8401
