,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.8968,0.7729,0.1368,0.1333
i0_c1,0.9036,0.7798,0.1272,0.1344
i0_c2,0.8948,0.7762,0.1296,0.1269
i0_c3,0.8968,0.7845,0.1636,0.1676
i0_g,0.1429,0.1408,,
i1_c0,0.1688,0.1622,0.1548,0.1482
i1_c1,0.1552,0.1594,0.1388,0.1515
i1_c2,0.1644,0.162,0.152,0.1652
i1_c3,0.164,0.1626,0.1288,0.1363
i1_g,0.1558,0.153,,
i2_c0,0.1712,0.165,0.154,0.1661
i2_c1,0.1652,0.1653,0.1664,0.1742
i2_c2,0.1652,0.1654,0.1408,0.1479
i2_c3,0.1708,0.164,0.1688,0.1652
i2_g,0.1686,0.1715,,
i3_c0,0.1788,0.1833,0.168,0.1678
i3_c1,0.1748,0.1818,0.1672,0.1662
i3_c2,0.1756,0.1824,0.182,0.1909
i3_c3,0.1964,0.1817,0.176,0.1708
i3_g,0.1776,0.183,,
i4_c0,0.1924,0.1937,0.1844,0.1798
i4_c1,0.1856,0.1923,0.1704,0.1769
i4_c2,0.1828,0.1942,0.1956,0.1975
i4_c3,0.198,0.1925,0.1664,0.1686
i4_g,0.1969,0.1935,,
i5_c0,0.2108,0.2004,0.1848,0.1826
i5_c1,0.1984,0.1999,0.172,0.1636
i5_c2,0.2044,0.2012,0.1936,0.1931
i5_c3,0.2028,0.2012,0.1976,0.1954
i5_g,0.1978,0.1995,,
i6_c0,0.2068,0.2046,0.2104,0.21
i6_c1,0.2,0.204,0.214,0.1981
i6_c2,0.1996,0.2048,0.156,0.159
i6_c3,0.2052,0.2041,0.1976,0.186
i6_g,0.1942,0.1978,,
i7_c0,0.2044,0.2041,0.1864,0.1741
i7_c1,0.1972,0.2031,0.1988,0.2013
i7_c2,0.1972,0.2057,0.2004,0.1914
i7_c3,0.204,0.2045,0.1848,0.1793
i7_g,0.1975,0.1942,,
i8_c0,0.202,0.2003,0.1892,0.1746
i8_c1,0.1984,0.1989,0.1736,0.1802
i8_c2,0.2072,0.1997,0.2256,0.2175
i8_c3,0.2076,0.1995,0.1988,0.2054
i8_g,0.2063,0.2056,,
i9_c0,0.2144,0.2127,0.2012,0.1946
i9_c1,0.2044,0.2122,0.2072,0.2056
i9_c2,0.22,0.2125,0.1892,0.1815
i9_c3,0.2112,0.2119,0.2148,0.2231
i9_g,0.2102,0.2095,,
