,best_mi_models_attack_model_aneur64_ado0_alr0.001_alreg1e-05_aepoch500,best_mi_models_attack_model_aneur64_ado0_alr0.001_alreg1e-09_aepoch500,best_mi_models_attack_model_aneur64_ado0_alr0.001_alreg0_aepoch500,best_mi_models_attack_model_aneur64_ado0_alr0.001_alreg1e-06_aepoch200,best_mi_models_attack_model_aneur64_ado0_alr0.001_alreg0.0001_aepoch500,best_mi_models_attack_model_aneur64_ado0_alr0.001_alreg1e-06_aepoch500,mean,std
0,0.7840333333333334,0.7859666666666666,0.7876333333333333,0.7136999999999999,0.7446999999999999,0.7655333333333334,0.7635944444444444,0.026914517744743273
1,0.7857666666666666,0.7864999999999999,0.7881,0.7135000000000001,0.7473333333333333,0.7649333333333334,0.7643555555555556,0.027046220155344348
2,0.7838333333333334,0.7883333333333334,0.7885,0.7128666666666668,0.7457333333333334,0.7656333333333333,0.76415,0.027497102540961427
3,0.99208,0.99264,0.9972,0.9773400000000001,0.9991,0.9845,0.9904766666666666,0.007473378679612605
4,0.7838333333333334,0.7844000000000001,0.7865333333333333,0.7102666666666666,0.7422,0.7620999999999999,0.7615555555555557,0.02783146145845709
5,0.7681666666666667,0.7715333333333333,0.7725333333333334,0.6975666666666668,0.7233,0.7493,0.7470666666666667,0.02802520029994165
6,0.7463333333333333,0.7511333333333333,0.7507666666666667,0.6762666666666668,0.7058666666666666,0.7273666666666667,0.726288888888889,0.027503452084114966
7,0.5725666666666667,0.5753333333333334,0.5706333333333333,0.5177666666666666,0.5219666666666666,0.5458666666666666,0.5506888888888889,0.023860215349891793
8,0.3363333333333334,0.3426666666666667,0.33326666666666666,0.3322666666666667,0.2956333333333333,0.3158,0.3259944444444444,0.015826166994202844
9,0.004433333333333333,0.004633333333333333,0.003766666666666667,0.0244,0.008433333333333333,0.0041333333333333335,0.0083,0.007365862198407322
10,0.0014333333333333333,0.0014999999999999998,0.0011666666666666665,0.022333333333333334,0.005466666666666666,0.0013666666666666664,0.005544444444444445,0.007656700446562805
11,0.0006666666666666666,0.0006666666666666666,0.0006666666666666666,0.014666666666666666,0.008266666666666667,0.0006666666666666666,0.004266666666666667,0.0054160256030906405
12,0.0006666666666666666,0.0006666666666666666,0.0006666666666666666,0.0121,0.016633333333333333,0.0006666666666666666,0.005233333333333334,0.006589497817093613
