,best_mi_models_attack_model_aneur64_ado0_alr0.001_alreg1e-05_aepoch500,best_mi_models_attack_model_aneur64_ado0_alr0.001_alreg1e-09_aepoch500,best_mi_models_attack_model_aneur64_ado0_alr0.001_alreg0_aepoch500,best_mi_models_attack_model_aneur64_ado0_alr0.001_alreg1e-06_aepoch200,best_mi_models_attack_model_aneur64_ado0_alr0.001_alreg0.0001_aepoch500,best_mi_models_attack_model_aneur64_ado0_alr0.001_alreg1e-06_aepoch500,mean,std
0,0.6595732114513323,0.6576390327693903,0.6568613338065102,0.6450835349299454,0.671021265860437,0.6662348853560717,0.6594022106956144,0.008127181293297666
1,0.6594452554608874,0.6568599635008886,0.6575132367820565,0.6450842042569307,0.6708346424989092,0.6666629624860505,0.6594000441642872,0.008149206401150962
2,0.6601305200352773,0.6579708761562286,0.6573341870185171,0.6449986331164572,0.6704014553927314,0.6657680678711296,0.6594339565983902,0.007914337166789681
3,0.5958183113488033,0.5984901614989474,0.5898087715269295,0.5957901944839364,0.5915701898389653,0.6060124088706315,0.5962483395947022,0.005229894159969027
4,0.6615156467915052,0.6587606353470044,0.657576184060256,0.6468215411005196,0.6729160576198888,0.6674980067493693,0.6608480119447572,0.008186470308970335
5,0.6646938769730392,0.6624880264842609,0.6616366483703932,0.6486930158510636,0.6760178021956,0.6708136288813525,0.6640571664592849,0.008499904155811916
6,0.6701318416769436,0.6673240131352758,0.6656799381239626,0.6517843896725004,0.6813605997941002,0.6761355216397779,0.6687360506737602,0.009262578188803014
7,0.7032607141398621,0.6971721759793202,0.6995390075037111,0.6699237090274174,0.7089112250113621,0.7053293496288445,0.6973560302150862,0.012840645618966414
8,0.7283012320466954,0.7242827047601517,0.7258271563913983,0.6830964085608476,0.7262371976537025,0.7289335630265578,0.7194463770732256,0.016329702074869237
9,0.6533910533910534,0.6435744615821245,0.6484725551662672,0.5107643759803867,0.5840283332444587,0.6458050725531302,0.6143393086529035,0.05193173027732846
10,0.6127165075998586,0.6132739212007504,0.6068295739348372,0.4992662941037061,0.5438447462969641,0.6016744096012389,0.5796009087895593,0.04318816922493009
11,0.581959706959707,0.581959706959707,0.581959706959707,0.4907003132343764,0.5402447856617411,0.581959706959707,0.5597973211224909,0.034451375216926115
12,0.581959706959707,0.581959706959707,0.581959706959707,0.4874467063003402,0.5234922609536805,0.581959706959707,0.5564629658488082,0.037529203500846924
