,best_mi_models_attack_model_aneur64_ado0_alr0.001_alreg1e-05_aepoch500,best_mi_models_attack_model_aneur64_ado0_alr0.001_alreg1e-09_aepoch500,best_mi_models_attack_model_aneur64_ado0_alr0.001_alreg0_aepoch500,best_mi_models_attack_model_aneur64_ado0_alr0.001_alreg1e-06_aepoch200,best_mi_models_attack_model_aneur64_ado0_alr0.001_alreg0.0001_aepoch500,best_mi_models_attack_model_aneur64_ado0_alr0.001_alreg1e-06_aepoch500,mean,std
0,0.6896833333333333,0.6884,0.6880999999999999,0.6605166666666666,0.6898166666666666,0.6910166666666667,0.6845888888888889,0.010808358676688648
1,0.6899833333333333,0.6878166666666666,0.6888,0.6604833333333332,0.6903166666666666,0.6912333333333333,0.6847722222222221,0.010916991796119652
2,0.6901333333333333,0.6892666666666667,0.6887333333333333,0.66025,0.68955,0.6906333333333334,0.684761111111111,0.01097839067115008
3,0.65954,0.66335,0.65184,0.65713,0.65465,0.67222,0.6597883333333333,0.0066324792163681805
4,0.6913833333333335,0.6890333333333333,0.6884833333333332,0.6612333333333332,0.6907333333333333,0.6912333333333334,0.68535,0.010839690442484501
5,0.6903333333333334,0.6892333333333335,0.6887166666666666,0.6598999999999999,0.6883333333333334,0.6908,0.6845527777777778,0.011058482652708177
6,0.6894833333333333,0.6883333333333334,0.6868666666666666,0.6575,0.6878833333333333,0.6894833333333334,0.6832583333333334,0.011555368922103973
7,0.6654833333333333,0.6627,0.6627833333333333,0.6313166666666666,0.6538333333333334,0.6589,0.6558361111111112,0.011568977581616735
8,0.6054666666666667,0.6061,0.6037500000000001,0.5890333333333334,0.5921166666666666,0.5991666666666666,0.5992722222222223,0.006596566634092672
9,0.5010333333333333,0.5010166666666667,0.50085,0.5005166666666666,0.5012166666666666,0.5009166666666667,0.5009250000000001,0.0002151119432950041
10,0.5002333333333334,0.50025,0.5001666666666666,0.5000333333333334,0.5004333333333333,0.5002,0.5002194444444444,0.00011879669322408842
11,0.5000833333333333,0.5000833333333333,0.5000833333333333,0.4996833333333333,0.5006333333333334,0.5000833333333333,0.5001083333333333,0.0002765110003839699
12,0.5000833333333333,0.5000833333333333,0.5000833333333333,0.4996666666666667,0.50075,0.5000833333333333,0.500125,0.0003182344232608235
