,train_acc,test_acc
i0_c0,0.885,0.816
i0_c1,0.878,0.8155
i0_g,0.8799,0.8444
i1_c0,0.886,0.8127
i1_c1,0.8756,0.8187
i1_g,0.8744,0.8392
i2_c0,0.8904,0.8091
i2_c1,0.8762,0.8127
i2_g,0.8779,0.8389
i3_c0,0.8888,0.8138
i3_c1,0.8794,0.8133
i3_g,0.8772,0.8377
i4_c0,0.8908,0.8088
i4_c1,0.874,0.8104
i4_g,0.88,0.8396
i5_c0,0.8878,0.8179
i5_c1,0.8752,0.8061
i5_g,0.876,0.8401
i6_c0,0.8862,0.8169
i6_c1,0.873,0.8108
i6_g,0.8775,0.8412
i7_c0,0.8852,0.8138
i7_c1,0.874,0.8138
i7_g,0.878,0.8403
i8_c0,0.8874,0.8115
i8_c1,0.8694,0.8055
i8_g,0.877,0.8404
i9_c0,0.8794,0.8139
i9_c1,0.8784,0.816
i9_g,0.8792,0.8425
