,epsilon,1e-08l2_train_acc,1e-08l2_test_acc,1e-07l2_train_acc,1e-07l2_test_acc,1e-06l2_train_acc,1e-06l2_test_acc,1e-05l2_train_acc,1e-05l2_test_acc,0.0001l2_train_acc,0.0001l2_test_acc,0.0005l2_train_acc,0.0005l2_test_acc,0.001l2_train_acc,0.001l2_test_acc,0.005l2_train_acc,0.005l2_test_acc,0.01l2_train_acc,0.01l2_test_acc,0.05l2_train_acc,0.05l2_test_acc,0.1l2_train_acc,0.1l2_test_acc,1.0l2_train_acc,1.0l2_test_acc,10.0l2_train_acc,10.0l2_test_acc
21,40.0,0.0109,0.0094,0.0095,0.0074,0.0106,0.0105,0.0232,0.0184,0.1455,0.1034,0.7062,0.4264,0.818,0.5184,0.8295,0.5247,0.7749,0.4963,0.3968,0.2766,0.2187,0.1691,0.0325,0.0249,0.0293,0.0225
22,50.0,0.0111,0.0118,0.0112,0.0108,0.0081,0.0092,0.031,0.0282,0.2086,0.1417,0.756,0.4743,0.8235,0.5167,0.8227,0.5212,0.7739,0.4943,0.3948,0.2775,0.2181,0.1684,0.0325,0.0248,0.0293,0.0225
23,60.0,0.0124,0.0121,0.0103,0.0113,0.0094,0.0115,0.0344,0.0263,0.243,0.1567,0.7887,0.4804,0.8339,0.523,0.8249,0.5237,0.7754,0.4974,0.394,0.276,0.2185,0.1685,0.0325,0.0248,0.0293,0.0225
24,70.0,0.0072,0.007,0.0081,0.0089,0.0146,0.013,0.0508,0.0403,0.2853,0.1871,0.808,0.499,0.8511,0.5368,0.8261,0.5253,0.7765,0.4964,0.3933,0.276,0.2183,0.1688,0.0325,0.0248,0.0293,0.0225
25,80.0,0.0111,0.0102,0.0068,0.0063,0.0082,0.0081,0.0485,0.0363,0.3722,0.2367,0.8278,0.5195,0.8477,0.5359,0.8268,0.5239,0.7749,0.4954,0.393,0.276,0.2185,0.1689,0.0325,0.0248,0.0293,0.0225
26,90.0,0.0108,0.0116,0.0031,0.0047,0.0109,0.0091,0.0596,0.041,0.4124,0.2563,0.8193,0.5036,0.8487,0.536,0.8254,0.5246,0.7746,0.4973,0.3947,0.2758,0.2188,0.1689,0.0325,0.0248,0.0293,0.0225
27,100.0,0.0071,0.007,0.0085,0.008,0.0085,0.008,0.0688,0.0495,0.427,0.2672,0.8344,0.5119,0.8569,0.5398,0.8259,0.5234,0.7745,0.4975,0.394,0.2766,0.2177,0.1684,0.0325,0.0248,0.0293,0.0225
28,200.0,0.0078,0.0064,0.0097,0.012,0.0097,0.0092,0.1628,0.1012,0.6786,0.4137,0.8605,0.5442,0.8656,0.5478,0.8272,0.5244,0.775,0.4983,0.394,0.276,0.218,0.1689,0.0325,0.0248,0.0293,0.0225
29,300.0,0.0079,0.0081,0.0117,0.0099,0.0123,0.0127,0.3305,0.1886,0.7885,0.482,0.8636,0.5419,0.8658,0.5469,0.8274,0.5249,0.776,0.4973,0.3943,0.2761,0.2184,0.1688,0.0325,0.0248,0.0293,0.0225
30,400.0,0.0114,0.013,0.0095,0.0112,0.0155,0.0142,0.4811,0.2518,0.8268,0.5168,0.8691,0.5461,0.8648,0.5489,0.8272,0.5252,0.7757,0.4977,0.394,0.2764,0.2184,0.1689,0.0325,0.0248,0.0293,0.0225
31,500.0,0.0165,0.015,0.011,0.0104,0.0106,0.0107,0.6196,0.3,0.8491,0.5297,0.8688,0.5476,0.8656,0.5491,0.8267,0.5245,0.7754,0.4976,0.394,0.276,0.2184,0.1688,0.0325,0.0248,0.0293,0.0225
32,600.0,0.0073,0.0097,0.0146,0.0141,0.0144,0.0111,0.7005,0.3567,0.8568,0.5429,0.8678,0.5465,0.8649,0.5475,0.8272,0.5255,0.7758,0.4982,0.3941,0.2762,0.2186,0.1689,0.0325,0.0248,0.0293,0.0225
33,700.0,0.0114,0.0117,0.0075,0.0081,0.0234,0.0227,0.7423,0.3677,0.8535,0.5358,0.8682,0.5462,0.8656,0.5489,0.8271,0.5252,0.7755,0.4982,0.3942,0.2761,0.2186,0.1687,0.0325,0.0248,0.0293,0.0225
34,800.0,0.007,0.0087,0.0152,0.0137,0.0283,0.0305,0.8026,0.3998,0.8639,0.5472,0.8678,0.5467,0.8659,0.5478,0.8267,0.5251,0.7757,0.498,0.3941,0.2762,0.2185,0.1689,0.0325,0.0248,0.0293,0.0225
35,900.0,0.0114,0.0125,0.01,0.0095,0.0255,0.0193,0.8529,0.4275,0.8654,0.5461,0.8684,0.5481,0.8656,0.5489,0.8272,0.5253,0.7756,0.4984,0.3941,0.2761,0.2185,0.1688,0.0325,0.0248,0.0293,0.0225
36,1000.0,0.0138,0.012,0.0187,0.0181,0.0283,0.024,0.8747,0.4337,0.8648,0.5514,0.8695,0.5487,0.8657,0.5479,0.8268,0.5253,0.7754,0.4982,0.3943,0.2762,0.2185,0.1688,0.0325,0.0248,0.0293,0.0225
37,2000.0,0.0085,0.0058,0.0122,0.0113,0.0698,0.0542,0.9926,0.5124,0.8737,0.5514,0.8686,0.5471,0.866,0.5489,0.8271,0.5259,0.7752,0.4986,0.3941,0.2762,0.2185,0.1688,0.0325,0.0248,0.0293,0.0225
38,3000.0,0.0098,0.0099,0.0228,0.0209,0.0947,0.071,0.999,0.5305,0.8757,0.5545,0.8683,0.5469,0.8659,0.549,0.8272,0.5254,0.7754,0.4981,0.3941,0.2761,0.2185,0.1688,0.0325,0.0248,0.0293,0.0225
39,4000.0,0.0084,0.0067,0.0128,0.0131,0.125,0.0851,0.9994,0.5312,0.8734,0.5515,0.8682,0.5481,0.866,0.5492,0.8272,0.5257,0.7755,0.4981,0.3941,0.2762,0.2185,0.1688,0.0325,0.0248,0.0293,0.0225
40,5000.0,0.011,0.0101,0.0212,0.0221,0.1872,0.1324,0.9999,0.5377,0.874,0.5527,0.8684,0.5477,0.8661,0.5491,0.8271,0.5256,0.7755,0.4982,0.3943,0.2762,0.2185,0.1688,0.0325,0.0248,0.0293,0.0225
41,6000.0,0.0107,0.0105,0.0187,0.0162,0.2647,0.1823,0.9996,0.5383,0.875,0.5535,0.8687,0.5474,0.8659,0.5492,0.8271,0.5256,0.7754,0.4983,0.3943,0.2762,0.2185,0.1688,0.0325,0.0248,0.0293,0.0225
42,7000.0,0.0094,0.0092,0.0226,0.0208,0.3226,0.2104,0.9997,0.5386,0.8746,0.5538,0.8681,0.5482,0.8655,0.5489,0.8272,0.5256,0.7754,0.4983,0.3942,0.2762,0.2185,0.1688,0.0325,0.0248,0.0293,0.0225
