,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.9576,0.7115,0.1312,0.1354
i0_c1,0.9376,0.7049,0.1264,0.1354
i0_c2,0.9504,0.7023,0.1312,0.1291
i0_c3,0.96,0.7013,0.1688,0.17
i0_c4,0.9336,0.7118,0.1432,0.1445
i0_c5,0.94,0.7124,0.1376,0.1469
i0_c6,0.9432,0.7055,0.1792,0.1621
i0_c7,0.9384,0.7323,0.1376,0.1287
i0_g,0.1486,0.1472,,
i1_c0,0.6048,0.4322,0.18,0.1729
i1_c1,0.612,0.424,0.1984,0.1979
i1_c2,0.62,0.4233,0.1728,0.1749
i1_c3,0.6176,0.4222,0.2088,0.1934
i1_c4,0.6136,0.43,0.1608,0.1659
i1_c5,0.6264,0.4298,0.1888,0.1757
i1_c6,0.6072,0.4239,0.1976,0.1931
i1_c7,0.5992,0.4293,0.1944,0.1699
i1_g,0.241,0.2425,,
i2_c0,0.6288,0.4761,0.2168,0.2127
i2_c1,0.648,0.45,0.2048,0.1994
i2_c2,0.6408,0.4742,0.24,0.2246
i2_c3,0.6512,0.4548,0.1848,0.1803
i2_c4,0.6368,0.4554,0.2056,0.1825
i2_c5,0.6392,0.4603,0.1768,0.1802
i2_c6,0.6464,0.4505,0.1856,0.1981
i2_c7,0.6152,0.4617,0.1968,0.2059
i2_g,0.3029,0.2882,,
i3_c0,0.66,0.4768,0.2176,0.2161
i3_c1,0.6568,0.4682,0.24,0.227
i3_c2,0.628,0.4775,0.1688,0.1637
i3_c3,0.6504,0.4695,0.2064,0.2028
i3_c4,0.6384,0.4531,0.1928,0.1876
i3_c5,0.6584,0.4651,0.1912,0.1943
i3_c6,0.6568,0.4669,0.2336,0.2175
i3_c7,0.636,0.4867,0.1944,0.1885
i3_g,0.2874,0.2818,,
i4_c0,0.6552,0.4759,0.1952,0.1999
i4_c1,0.652,0.4673,0.1864,0.1823
i4_c2,0.6312,0.4918,0.2496,0.2513
i4_c3,0.6432,0.4762,0.2328,0.2187
i4_c4,0.6408,0.4626,0.1544,0.1872
i4_c5,0.66,0.4655,0.232,0.2271
i4_c6,0.624,0.4754,0.228,0.1961
i4_c7,0.6464,0.4789,0.2136,0.217
i4_g,0.3062,0.3015,,
i5_c0,0.6504,0.4774,0.2112,0.2047
i5_c1,0.6736,0.4802,0.1968,0.174
i5_c2,0.6352,0.478,0.1984,0.183
i5_c3,0.6552,0.4839,0.1984,0.1845
i5_c4,0.6408,0.4714,0.2128,0.1972
i5_c5,0.656,0.4795,0.2216,0.2023
i5_c6,0.6432,0.4844,0.2304,0.2076
i5_c7,0.6216,0.4787,0.1888,0.1756
i5_g,0.2887,0.2834,,
i6_c0,0.6816,0.5029,0.2056,0.1972
i6_c1,0.6752,0.4862,0.22,0.223
i6_c2,0.6608,0.4878,0.1824,0.1696
i6_c3,0.6552,0.4856,0.2168,0.2154
i6_c4,0.6712,0.4824,0.2048,0.2108
i6_c5,0.6856,0.4917,0.2072,0.2112
i6_c6,0.6616,0.4886,0.2304,0.2377
i6_c7,0.6512,0.4993,0.204,0.232
i6_g,0.3083,0.2979,,
i7_c0,0.6568,0.4827,0.224,0.208
i7_c1,0.6544,0.4819,0.1768,0.1628
i7_c2,0.6472,0.4783,0.1816,0.1983
i7_c3,0.6536,0.4836,0.2208,0.208
i7_c4,0.6312,0.4803,0.152,0.1557
i7_c5,0.6528,0.4856,0.2216,0.2249
i7_c6,0.6288,0.484,0.2744,0.2547
i7_c7,0.64,0.5021,0.1912,0.1955
i7_g,0.2934,0.2871,,
i8_c0,0.6776,0.4811,0.2384,0.2068
i8_c1,0.6528,0.4856,0.2408,0.2211
i8_c2,0.6368,0.4724,0.2,0.1841
i8_c3,0.672,0.4741,0.2056,0.2194
i8_c4,0.6272,0.4909,0.2096,0.2063
i8_c5,0.648,0.4751,0.184,0.1852
i8_c6,0.6416,0.4676,0.2024,0.1889
i8_c7,0.6456,0.4925,0.1792,0.205
i8_g,0.301,0.2944,,
i9_c0,0.6768,0.4959,0.2344,0.226
i9_c1,0.66,0.4977,0.232,0.2143
i9_c2,0.6656,0.4883,0.2056,0.2064
i9_c3,0.6712,0.4922,0.1992,0.1964
i9_c4,0.648,0.4891,0.1992,0.1914
i9_c5,0.6792,0.5061,0.2048,0.1759
i9_c6,0.6696,0.4957,0.1776,0.1971
i9_c7,0.664,0.5032,0.2128,0.2077
i9_g,0.3146,0.3044,,
