,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.9124,0.7776,0.9012,0.7721
i0_c1,0.904,0.7784,0.8968,0.7663
i0_c2,0.902,0.7762,0.89,0.7651
i0_c3,0.896,0.7827,0.8896,0.779
i0_g,0.8634,0.8285,,
i1_c0,0.9344,0.7955,0.922,0.7951
i1_c1,0.9252,0.7907,0.918,0.7852
i1_c2,0.9004,0.7872,0.9064,0.7848
i1_c3,0.92,0.7883,0.9036,0.7808
i1_g,0.8808,0.8443,,
i2_c0,0.9268,0.8016,0.9268,0.7957
i2_c1,0.9312,0.8018,0.9204,0.7957
i2_c2,0.9168,0.801,0.9092,0.8002
i2_c3,0.9184,0.7995,0.9148,0.7981
i2_g,0.8814,0.8498,,
i3_c0,0.94,0.803,0.9332,0.7962
i3_c1,0.9344,0.8046,0.9328,0.7986
i3_c2,0.9316,0.8007,0.9192,0.7972
i3_c3,0.934,0.8052,0.9268,0.8042
i3_g,0.8906,0.8498,,
i4_c0,0.9384,0.8048,0.9316,0.8017
i4_c1,0.934,0.8011,0.9232,0.7951
i4_c2,0.9352,0.8113,0.9252,0.8087
i4_c3,0.9348,0.8108,0.9304,0.8063
i4_g,0.8886,0.8525,,
i5_c0,0.9452,0.8026,0.9384,0.7983
i5_c1,0.9416,0.8108,0.938,0.8076
i5_c2,0.9348,0.8073,0.9284,0.8035
i5_c3,0.936,0.8077,0.928,0.8053
i5_g,0.8891,0.8506,,
i6_c0,0.9528,0.8082,0.9508,0.8044
i6_c1,0.9452,0.8112,0.94,0.8051
i6_c2,0.9408,0.8149,0.9252,0.8115
i6_c3,0.9384,0.8127,0.9292,0.813
i6_g,0.8896,0.8549,,
i7_c0,0.95,0.8118,0.9444,0.8075
i7_c1,0.9452,0.808,0.9304,0.804
i7_c2,0.9412,0.8207,0.9324,0.8142
i7_c3,0.9376,0.8164,0.9324,0.8094
i7_g,0.8926,0.8539,,
i8_c0,0.9568,0.8101,0.9508,0.8104
i8_c1,0.9444,0.8148,0.9376,0.8074
i8_c2,0.9328,0.8097,0.92,0.8089
i8_c3,0.9388,0.8138,0.9388,0.8091
i8_g,0.8919,0.8559,,
i9_c0,0.954,0.817,0.9476,0.813
i9_c1,0.9476,0.8129,0.9408,0.812
i9_c2,0.9416,0.8165,0.9316,0.8134
i9_c3,0.9436,0.8139,0.9396,0.8106
i9_g,0.8926,0.8571,,
