,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.9584,0.711,0.812,0.636
i0_c1,0.9488,0.7083,0.7984,0.6508
i0_c2,0.956,0.7013,0.7944,0.6285
i0_c3,0.948,0.697,0.7712,0.6306
i0_c4,0.9392,0.7151,0.7816,0.6423
i0_c5,0.9384,0.708,0.788,0.6296
i0_c6,0.944,0.7007,0.8088,0.638
i0_c7,0.9392,0.7426,0.7912,0.6507
i0_g,0.8098,0.7774,,
i1_c0,0.9776,0.7257,0.8296,0.665
i1_c1,0.9504,0.7132,0.828,0.6629
i1_c2,0.9656,0.7141,0.8192,0.6544
i1_c3,0.9672,0.7136,0.8352,0.6604
i1_c4,0.9472,0.7254,0.812,0.6498
i1_c5,0.9472,0.724,0.8216,0.6599
i1_c6,0.9512,0.7227,0.8224,0.662
i1_c7,0.9576,0.7505,0.8152,0.6795
i1_g,0.8349,0.7996,,
i2_c0,0.9728,0.7307,0.8424,0.6681
i2_c1,0.9624,0.7226,0.8432,0.6705
i2_c2,0.9608,0.7149,0.8368,0.6719
i2_c3,0.9656,0.7189,0.8616,0.6798
i2_c4,0.9424,0.7256,0.8104,0.6725
i2_c5,0.9544,0.732,0.816,0.6601
i2_c6,0.9568,0.7247,0.8208,0.6702
i2_c7,0.9584,0.7512,0.8224,0.6898
i2_g,0.8379,0.8049,,
i3_c0,0.9792,0.7374,0.8504,0.6813
i3_c1,0.9608,0.7271,0.8576,0.686
i3_c2,0.9712,0.7257,0.836,0.6617
i3_c3,0.972,0.7197,0.8256,0.6617
i3_c4,0.9408,0.7236,0.8128,0.6725
i3_c5,0.9512,0.7326,0.8368,0.6956
i3_c6,0.9616,0.7262,0.8424,0.6788
i3_c7,0.956,0.7583,0.8192,0.6821
i3_g,0.8416,0.8151,,
i4_c0,0.9736,0.7346,0.84,0.6862
i4_c1,0.972,0.7313,0.8456,0.6781
i4_c2,0.968,0.728,0.8608,0.6822
i4_c3,0.9696,0.727,0.848,0.6777
i4_c4,0.9584,0.7317,0.8072,0.6716
i4_c5,0.9648,0.7353,0.8752,0.6931
i4_c6,0.9624,0.7313,0.844,0.6831
i4_c7,0.9576,0.7551,0.8512,0.6972
i4_g,0.8489,0.8191,,
i5_c0,0.9752,0.7355,0.852,0.6754
i5_c1,0.968,0.7345,0.8472,0.6767
i5_c2,0.9728,0.7251,0.8416,0.6731
i5_c3,0.9736,0.7251,0.832,0.6771
i5_c4,0.9552,0.7381,0.8208,0.6754
i5_c5,0.9616,0.7412,0.8504,0.6906
i5_c6,0.9616,0.7323,0.8464,0.6842
i5_c7,0.956,0.7538,0.8368,0.7048
i5_g,0.8493,0.8174,,
i6_c0,0.9808,0.7386,0.8448,0.6772
i6_c1,0.964,0.725,0.8504,0.6833
i6_c2,0.9672,0.7233,0.848,0.674
i6_c3,0.9792,0.7245,0.8512,0.6732
i6_c4,0.956,0.7332,0.832,0.681
i6_c5,0.9568,0.737,0.8304,0.6831
i6_c6,0.9576,0.7251,0.8512,0.6777
i6_c7,0.9552,0.7574,0.8256,0.695
i6_g,0.8467,0.813,,
i7_c0,0.9784,0.7338,0.836,0.6799
i7_c1,0.9624,0.7257,0.8192,0.6686
i7_c2,0.964,0.7214,0.8296,0.6598
i7_c3,0.968,0.7196,0.8608,0.6851
i7_c4,0.956,0.7395,0.7944,0.6556
i7_c5,0.964,0.7367,0.8384,0.6784
i7_c6,0.9608,0.7266,0.84,0.6693
i7_c7,0.956,0.76,0.828,0.6897
i7_g,0.8406,0.8086,,
i8_c0,0.9872,0.7402,0.848,0.6826
i8_c1,0.9648,0.7346,0.8536,0.6945
i8_c2,0.9736,0.724,0.8408,0.6733
i8_c3,0.972,0.7238,0.84,0.6656
i8_c4,0.944,0.7354,0.8144,0.6606
i8_c5,0.9632,0.7434,0.836,0.679
i8_c6,0.9592,0.7246,0.8296,0.6657
i8_c7,0.9656,0.7585,0.8208,0.6906
i8_g,0.8423,0.8098,,
i9_c0,0.9848,0.7433,0.8528,0.6817
i9_c1,0.9592,0.7284,0.8472,0.6786
i9_c2,0.9648,0.7227,0.8424,0.671
i9_c3,0.9744,0.7267,0.8424,0.6853
i9_c4,0.9536,0.7381,0.8328,0.681
i9_c5,0.9544,0.7372,0.8656,0.6981
i9_c6,0.9632,0.731,0.8368,0.6642
i9_c7,0.9552,0.7535,0.8344,0.7015
i9_g,0.8498,0.8175,,
