,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.8812,0.8115,0.1434,0.1547
i0_c1,0.8746,0.8021,0.1502,0.1518
i0_g,0.1426,0.1523,,
i1_c0,0.8566,0.772,0.1502,0.1558
i1_c1,0.847,0.7734,0.1616,0.1658
i1_g,0.1532,0.1574,,
i2_c0,0.8442,0.7657,0.1514,0.148
i2_c1,0.8408,0.7647,0.1484,0.1586
i2_g,0.1513,0.1532,,
i3_c0,0.8428,0.7661,0.176,0.1792
i3_c1,0.8472,0.7599,0.1366,0.1301
i3_g,0.1812,0.1902,,
i4_c0,0.8484,0.7714,0.1374,0.1401
i4_c1,0.8428,0.7666,0.1452,0.1423
i4_g,0.1358,0.1375,,
i5_c0,0.8602,0.774,0.1946,0.1849
i5_c1,0.8536,0.7696,0.1598,0.1544
i5_g,0.1906,0.1817,,
i6_c0,0.8646,0.7804,0.1606,0.1648
i6_c1,0.848,0.7778,0.2072,0.204
i6_g,0.1944,0.1988,,
i7_c0,0.8614,0.7697,0.1352,0.1484
i7_c1,0.8484,0.7739,0.1574,0.1499
i7_g,0.153,0.1644,,
i8_c0,0.8546,0.7668,0.173,0.176
i8_c1,0.8462,0.7696,0.1732,0.1626
i8_g,0.1753,0.1679,,
i9_c0,0.8494,0.764,0.1572,0.1489
i9_c1,0.842,0.7571,0.109,0.1118
i9_g,0.1291,0.132,,
