,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.7898,0.725,0.1374,0.1403
i0_c1,0.7932,0.7384,0.1494,0.1363
i0_g,0.1565,0.1471,,
i1_c0,0.1574,0.1478,0.1624,0.1596
i1_c1,0.1598,0.1475,0.1574,0.154
i1_g,0.1664,0.1615,,
i2_c0,0.1628,0.1626,0.1314,0.1343
i2_c1,0.1706,0.1629,0.1674,0.1679
i2_g,0.1605,0.1592,,
i3_c0,0.1586,0.1606,0.1458,0.141
i3_c1,0.1654,0.161,0.1584,0.1522
i3_g,0.1541,0.1554,,
i4_c0,0.1568,0.1557,0.136,0.1364
i4_c1,0.153,0.1559,0.1596,0.1539
i4_g,0.1412,0.1442,,
i5_c0,0.1422,0.1453,0.1576,0.163
i5_c1,0.1416,0.1451,0.1416,0.1354
i5_g,0.1482,0.1501,,
i6_c0,0.1462,0.15,0.1566,0.148
i6_c1,0.1526,0.15,0.1594,0.1522
i6_g,0.1564,0.151,,
i7_c0,0.156,0.1513,0.154,0.156
i7_c1,0.1582,0.1513,0.1388,0.1442
i7_g,0.149,0.1499,,
i8_c0,0.1482,0.15,0.145,0.1428
i8_c1,0.1512,0.1503,0.15,0.1488
i8_g,0.1465,0.1466,,
i9_c0,0.148,0.1473,0.1452,0.1392
i9_c1,0.1476,0.1474,0.1568,0.155
i9_g,0.1497,0.1474,,
