,train_acc,test_acc
i0_c0,0.3744,0.351
i0_c1,0.366,0.3448
i0_g,0.4049,0.4009
i1_c0,0.3996,0.3742
i1_c1,0.4218,0.3973
i1_g,0.4685,0.4445
i2_c0,0.454,0.4222
i2_c1,0.4404,0.4005
i2_g,0.4872,0.4633
i3_c0,0.4478,0.4303
i3_c1,0.4682,0.446
i3_g,0.5105,0.4943
i4_c0,0.4754,0.4563
i4_c1,0.4796,0.4549
i4_g,0.5216,0.5084
i5_c0,0.477,0.453
i5_c1,0.4754,0.4498
i5_g,0.5237,0.5097
i6_c0,0.4848,0.4638
i6_c1,0.4842,0.469
i6_g,0.5375,0.5189
i7_c0,0.491,0.4566
i7_c1,0.5212,0.4828
i7_g,0.5526,0.5313
i8_c0,0.517,0.4939
i8_c1,0.5066,0.4789
i8_g,0.5621,0.5394
i9_c0,0.5236,0.5016
i9_c1,0.5266,0.506
i9_g,0.571,0.5575
