,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.8812,0.8133,0.1224,0.1262
i0_c1,0.8688,0.813,0.1332,0.1344
i0_g,0.1304,0.1338,,
i1_c0,0.8898,0.8205,0.1594,0.1694
i1_c1,0.8844,0.822,0.1684,0.1692
i1_g,0.1831,0.1796,,
i2_c0,0.8926,0.8208,0.149,0.152
i2_c1,0.889,0.8176,0.2042,0.1965
i2_g,0.1874,0.185,,
i3_c0,0.897,0.8256,0.2186,0.2015
i3_c1,0.8914,0.8167,0.1962,0.1756
i3_g,0.2219,0.2123,,
i4_c0,0.8942,0.816,0.1698,0.18
i4_c1,0.8896,0.8185,0.1772,0.1801
i4_g,0.1837,0.1818,,
i5_c0,0.8966,0.8162,0.1772,0.1772
i5_c1,0.8908,0.8214,0.1322,0.1445
i5_g,0.1576,0.1606,,
i6_c0,0.8922,0.8149,0.1618,0.1651
i6_c1,0.8812,0.8145,0.1886,0.1821
i6_g,0.1982,0.1948,,
i7_c0,0.893,0.8145,0.1762,0.1702
i7_c1,0.8836,0.8207,0.1426,0.1491
i7_g,0.1649,0.1634,,
i8_c0,0.8942,0.8137,0.1602,0.1569
i8_c1,0.8842,0.8165,0.1704,0.1658
i8_g,0.1858,0.1774,,
i9_c0,0.8966,0.8202,0.1478,0.1562
i9_c1,0.881,0.8155,0.186,0.19
i9_g,0.1923,0.1973,,
