file_name,train_acc,test_acc,train_acc_outDP,test_acc_out_DP,it,client,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
i0_c0.npy,0.8694,0.7996,0.146,0.15,0,c0,0.5016333333333334,0.0003448026810929547,0.5051984478347052,0.0013186087081441906,0.1615,0.011039172674314559
i0_c1.npy,0.8608,0.7945,0.1584,0.1455,0,c1,0.5071333333333333,0.0014940623220676616,0.5223234083896494,0.005102889916360419,0.16873333333333332,0.009646185198765814
i0_g.npy,0.1684,0.1585,,,0,g,0.5056333333333333,0.0004099457958749562,0.516077844503523,0.0017295609173255317,0.1817333333333333,0.00906452180512329
i1_c0.npy,0.866,0.7732,0.1998,0.1971,1,c0,0.49793333333333334,0.0007156970184527984,0.4950368309302677,0.0017401464919732967,0.20820000000000002,0.007874007874011818
i1_c1.npy,0.8542,0.7783,0.1828,0.1807,1,c1,0.5027166666666667,6.87184270936201e-05,0.5072292838532347,0.00035675787741866434,0.1909,0.006481512169239528
i1_g.npy,0.2098,0.2065,,,1,g,0.502425,0.00010704360482224947,0.505642053854166,0.00012104559676890411,0.21725000000000003,0.005928392137277465
i2_c0.npy,0.8472,0.7653,0.1664,0.1698,2,c0,0.4995666666666667,0.0006155395104206451,0.49885352147034845,0.00163322343504433,0.1748333333333333,0.009703893834721996
i2_c1.npy,0.8372,0.756,0.2322,0.2261,2,c1,0.5009166666666666,0.0005489889697333328,0.5018904064954284,0.0010865790029817952,0.2408,0.006514598989960935
i2_g.npy,0.2234,0.2226,,,2,g,0.5009833333333333,0.0003472111109333302,0.5021142484448593,0.0006801821514542231,0.23185,0.007172575083840762
i3_c0.npy,0.8524,0.7665,0.1762,0.1825,3,c0,0.49910000000000004,0.0009073771725877466,0.497714416779687,0.0022090451587209736,0.18626666666666666,0.009359249732513578
i3_c1.npy,0.8384,0.7698,0.212,0.2112,3,c1,0.5036666666666667,0.0006128258770283723,0.5084042545258768,0.0013827147578895852,0.22213333333333332,0.007888106377466161
i3_g.npy,0.2154,0.2136,,,3,g,0.5007583333333333,0.00032328607902119437,0.5017288638216714,0.0007572695604578498,0.22261666666666666,0.005684017554120999
i4_c0.npy,0.8364,0.7562,0.2042,0.1955,4,c0,0.5055666666666667,9.428090415824828e-05,0.5133639247888008,0.0003697338926907857,0.21409999999999998,0.009552486587271397
i4_c1.npy,0.8342,0.7617,0.2094,0.2102,4,c1,0.5020999999999999,0.0009865765724632347,0.5049630838958258,0.0023169322104675365,0.21716666666666665,0.0075722446400581225
i4_g.npy,0.2178,0.2146,,,4,g,0.5015833333333334,0.00018633899812500333,0.5035350235752873,0.00037614504693795606,0.22543333333333335,0.0073158883412899525
i5_c0.npy,0.8396,0.7579,0.2168,0.213,5,c0,0.5036666666666667,0.00024944382578492174,0.5083387693767976,0.00037189127393010923,0.2233333333333333,0.005997406847037217
i5_c1.npy,0.845,0.76,0.175,0.1748,5,c1,0.49720000000000003,0.0006271629240742188,0.49259815514309196,0.0011672571574919432,0.18476666666666663,0.009404549726358813
i5_g.npy,0.2071,0.209,,,5,g,0.4993666666666667,0.0003726779962499653,0.4984944722632656,0.0008617693289607738,0.21519999999999997,0.009992163596205438
i6_c0.npy,0.8496,0.7737,0.2032,0.197,6,c0,0.5002833333333333,0.00018633899812500333,0.5006543449589829,0.000418580661161166,0.21589999999999998,0.012407390270856055
i6_c1.npy,0.8492,0.7726,0.1818,0.1782,6,c1,0.5017166666666667,0.0003287180487219378,0.504579050136487,0.0008981469688074793,0.18966666666666665,0.0070716963232939295
i6_g.npy,0.2048,0.1972,,,6,g,0.5030249999999999,0.00037165171868296033,0.5072429163045493,0.0011067479890089034,0.2131166666666667,0.008002586387468048
i7_c0.npy,0.8454,0.7662,0.2268,0.2186,7,c0,0.5075999999999999,0.0006055300708194836,0.5165032312719235,0.0008080399631959457,0.23756666666666668,0.008899001192393566
i7_c1.npy,0.8474,0.7646,0.1772,0.1798,7,c1,0.5007,0.0006110100926607962,0.5018119407361837,0.0015466652256500197,0.18843333333333334,0.011911012644700793
i7_g.npy,0.2177,0.2178,,,7,g,0.5007999999999999,0.0014404860290888042,0.501624923414545,0.0029342981540722807,0.22963333333333336,0.01128681630142984
i8_c0.npy,0.8524,0.7731,0.1828,0.1899,8,c0,0.5005499999999999,0.00043874821936959577,0.5014696942333303,0.0011245194746035657,0.19013333333333335,0.007465178423111457
i8_c1.npy,0.8438,0.7624,0.2028,0.2114,8,c1,0.4934,0.0013796134724383226,0.4851207726612783,0.0024979885104627693,0.2140666666666667,0.0073644793132682145
i8_g.npy,0.2193,0.2184,,,8,g,0.5000333333333333,0.0005727613425813178,0.5001120909994431,0.0012133178758405609,0.22441666666666663,0.007708094590897433
i9_c0.npy,0.8558,0.7749,0.2088,0.2033,9,c0,0.5006333333333334,4.7140452079097985e-05,0.5014589740403484,6.681824316126118e-05,0.21743333333333334,0.007137148512458526
i9_c1.npy,0.8506,0.7685,0.2128,0.2202,9,c1,0.4985333333333333,0.0004189935029992188,0.49674395701840474,0.0008913259247921803,0.22346666666666667,0.006897986823865511
i9_g.npy,0.2334,0.2289,,,9,g,0.502275,0.0005900211860602935,0.5047703287464379,0.0012406140948444363,0.24124999999999996,0.00403061202962197
